"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"5034","2","5","7","53","51","342","454","573","492","C0000768"
"1717","2","3","2","19","151","276","48","69","204","C0000768"
"596","2","3","12","19","219","339","402","489","416","C0000768"
"4625","2","3","8","63","45","23","103","464","187","C0000768"
"2261","2","5","7","53","14","20","25","40","186","C0000768"
"4514","2","3","2","48","57","110","141","359","5","C0000768"
"5193","2","3","5","43","161","305","409","208","482","C0000768"
"2332","2","3","2","22","33","71","373","466","609","C0000768"
"27130","2","3","12","48","45","143","38","236","69","C0000768"
"4593","2","5","7","53","14","20","454","573","492","C0000768"
"9180","2","5","7","53","51","119","25","549","416","C0000768"
"7547","2","3","3","19","221","321","428","541","667","C0000832"
"4512","2","3","2","48","170","110","141","359","8","C0000832"
"5351","2","5","7","53","51","342","454","573","492","C0000832"
"2218","2","5","2","53","123","194","255","560","373","C0000887"
"114902","2","5","7","41","219","339","156","568","697","C0000887"
"4621","2","5","8","63","45","23","103","464","187","C0000887"
"5618","2","5","7","53","51","119","25","40","186","C0000887"
"26229","2","3","2","74","205","191","396","408","257","C0000887"
"3845","2","5","7","60","54","24","30","46","72","C0000887"
"26137","2","5","7","63","45","184","103","572","658","C0000889"
"4361","2","3","12","19","31","261","116","1","86","C0000889"
"2200","2","5","7","53","51","342","454","573","492","C0000889"
"79848","2","3","12","76","153","40","38","54","75","C0000889"
"5447","2","3","5","91","214","271","372","471","586","C0000889"
"1311","2","5","7","53","51","342","454","573","492","C0000889"
"54551","2","3","12","41","219","197","156","568","422","C0000889"
"5979","2","5","7","53","14","20","25","40","186","C0000889"
"3257","2","5","7","60","54","24","30","46","72","C0000889"
"4015","2","5","7","53","51","342","454","573","492","C0000889"
"6622","2","3","7","27","36","150","341","223","628","C0000889"
"10804","2","3","12","76","153","40","38","54","75","C0000889"
"7084","2","3","2","72","109","115","62","268","353","C0000889"
"54938","2","3","2","110","85","67","76","252","154","C0000889"
"1537","2","3","2","48","170","50","304","167","593","C0000889"
"2697","2","3","7","76","153","40","38","54","75","C0000889"
"10804","2","3","12","76","153","40","38","54","75","C0000889"
"207","2","3","7","53","14","20","34","489","416","C0000889"
"546","2","3","12","19","31","261","426","1","86","C0000889"
"55612","2","5","7","60","36","71","177","560","701","C0000889"
"1340","2","3","2","48","170","50","141","359","462","C0001122"
"9419","2","5","7","60","36","71","341","223","219","C0001122"
"5339","2","5","7","53","51","342","454","573","492","C0001122"
"54345","2","5","3","19","221","321","428","541","667","C0001126"
"3425","2","3","5","80","81","166","454","573","492","C0001126"
"23564","2","3","2","63","45","225","243","177","236","C0001126"
"274","2","5","7","60","14","184","341","544","669","C0001126"
"229","2","3","2","90","167","266","367","500","577","C0001126"
"4221","2","3","12","19","31","342","454","573","492","C0001126"
"64333","2","5","7","34","52","216","395","46","72","C0001126"
"9215","2","5","2","27","36","150","430","215","628","C0001126"
"5251","2","3","5","80","81","296","474","593","722","C0001126"
"2972","2","3","2","19","33","261","116","159","211","C0001126"
"3914","2","5","7","53","51","342","454","573","492","C0001175"
"2056","2","5","7","53","51","119","25","40","186","C0001175"
"2737","2","3","12","19","116","321","428","54","667","C0001175"
"229","2","3","2","90","167","266","367","500","577","C0001202"
"5351","2","5","7","53","51","342","454","573","492","C0001202"
"9187","2","5","8","45","94","199","240","415","666","C0001206"
"1281","2","5","7","53","51","342","454","573","492","C0001206"
"4688","2","5","7","60","14","20","25","40","215","C0001206"
"5308","2","3","3","19","221","321","428","541","667","C0001206"
"3248","2","3","2","69","83","133","167","224","301","C0001206"
"2588","2","3","7","34","52","216","395","549","674","C0001206"
"4137","2","3","7","27","36","150","341","223","628","C0001206"
"8518","2","3","12","19","31","1","426","55","78","C0001206"
"10342","2","3","7","60","219","40","202","66","203","C0001206"
"207","2","3","7","53","14","20","34","489","416","C0001206"
"1584","2","3","5","79","159","256","276","353","456","C0001206"
"1581","2","3","5","19","151","276","91","433","118","C0001206"
"7547","2","3","3","19","221","321","428","541","667","C0001206"
"6790","2","3","12","76","153","40","34","540","68","C0001206"
"1499","2","3","12","19","221","197","259","560","422","C0001206"
"1285","2","5","7","53","51","342","454","573","492","C0001206"
"673","2","5","7","53","14","20","34","540","68","C0001206"
"2068","2","3","12","19","31","261","116","159","211","C0001339"
"1027","2","3","12","19","31","1","116","1","86","C0001339"
"1161","2","3","12","41","116","268","434","468","213","C0001339"
"4193","2","3","12","19","31","1","116","89","605","C0001403"
"79728","2","3","12","19","31","261","116","1","86","C0001403"
"3141","2","3","2","68","40","130","166","127","173","C0001403"
"2395","2","3","2","48","170","50","304","167","593","C0001403"
"4899","2","3","3","19","151","276","91","433","118","C0001403"
"51524","2","5","7","45","94","199","240","415","666","C0001403"
"6391","2","3","2","48","170","50","119","444","556","C0001403"
"2556","2","5","8","27","70","99","162","216","290","C0001403"
"2335","2","5","7","53","51","342","454","573","492","C0001403"
"2200","2","5","7","53","51","342","454","573","492","C0001403"
"6521","2","5","8","35","41","199","40","415","666","C0001403"
"5189","2","3","5","43","161","305","409","208","482","C0001403"
"4282","2","5","7","34","52","216","395","549","674","C0001403"
"5122","2","5","4","27","36","184","141","359","411","C0001403"
"3553","2","5","7","53","51","119","25","489","416","C0001403"
"2517","2","3","7","34","52","216","395","549","674","C0001403"
"6663","2","3","3","19","221","321","428","541","667","C0001403"
"2697","2","3","7","76","153","40","38","54","75","C0001403"
"1584","2","3","5","79","159","256","276","353","456","C0001430"
"58","2","5","8","63","45","23","103","464","187","C0001430"
"9401","2","3","12","76","31","261","116","1","86","C0001430"
"6299","2","3","12","19","221","321","428","541","667","C0001430"
"4644","2","5","7","60","54","184","141","359","411","C0001430"
"7372","2","3","2","68","119","109","266","182","182","C0001430"
"7056","2","5","7","53","51","119","454","573","492","C0001430"
"50940","2","3","4","68","96","326","427","548","672","C0001430"
"3728","2","5","7","34","52","225","142","220","298","C0001430"
"5745","2","5","4","68","96","326","427","548","672","C0001430"
"3045","2","3","12","19","31","118","155","287","116","C0001430"
"546","2","3","12","19","31","261","426","1","86","C0001430"
"54862","2","3","12","76","153","40","38","54","75","C0001430"
"6663","2","3","3","19","221","321","428","541","667","C0001430"
"5897","2","3","12","41","116","268","141","568","605","C0001430"
"3045","2","3","12","19","31","118","155","287","116","C0001430"
"2720","2","3","7","34","52","216","395","21","599","C0001430"
"2010","2","3","12","26","105","296","226","488","156","C0001430"
"2915","2","5","4","68","96","326","427","548","672","C0001430"
"50964","2","5","3","68","221","197","259","423","422","C0001430"
"3417","2","3","7","34","52","216","395","549","319","C0001430"
"2566","2","5","8","27","70","99","162","216","290","C0001430"
"5573","2","3","12","19","184","118","155","287","116","C0001430"
"4125","2","3","7","34","52","216","395","549","674","C0001430"
"4514","2","3","2","48","57","110","141","359","5","C0001430"
"10594","2","3","2","22","33","323","66","101","136","C0001430"
"2200","2","5","7","53","51","342","454","573","492","C0001430"
"23218","2","5","7","34","52","216","395","549","674","C0001430"
"4318","2","5","7","34","52","216","395","573","492","C0001430"
"1278","2","5","7","53","51","342","454","573","492","C0001430"
"7516","2","3","12","19","31","261","116","1","86","C0001430"
"5626","2","3","3","19","221","321","428","541","667","C0001430"
"2562","2","5","8","27","70","99","162","216","290","C0001618"
"207","2","3","7","53","14","20","34","489","416","C0001618"
"3303","2","3","7","34","52","216","395","271","356","C0001618"
"2990","2","3","7","34","52","216","395","549","674","C0001621"
"1280","2","5","7","53","51","342","454","573","492","C0001621"
"8867","2","3","5","60","14","184","341","544","669","C0001623"
"51057","2","3","12","76","153","40","38","54","75","C0001623"
"2253","2","5","7","53","14","20","25","40","186","C0001623"
"5917","2","3","2","110","85","237","433","547","154","C0001623"
"860","2","3","12","19","31","276","91","433","118","C0001623"
"1130","2","5","7","60","54","326","141","359","462","C0001623"
"5428","2","3","2","48","170","50","119","167","593","C0001623"
"760","2","3","5","35","41","77","40","78","178","C0001623"
"336","2","5","7","53","51","342","454","573","492","C0001623"
"728294","2","3","2","48","170","152","119","252","154","C0001624"
"477","2","3","8","63","45","23","103","464","187","C0001624"
"54977","2","3","2","110","85","118","155","287","116","C0001624"
"291","2","3","2","48","170","50","304","167","593","C0001624"
"5265","2","5","7","34","52","216","395","573","702","C0001624"
"4000","2","3","12","26","105","178","226","297","156","C0001624"
"3123","2","5","7","53","51","119","156","287","116","C0001624"
"6736","2","3","12","19","31","276","91","433","667","C0001624"
"10861","2","3","2","35","142","225","142","220","673","C0001624"
"27229","2","3","12","76","153","40","38","54","75","C0001624"
"29954","2","5","2","27","206","324","430","215","290","C0001624"
"847","2","3","7","34","52","216","395","549","674","C0001627"
"3662","2","5","7","53","184","119","156","287","116","C0001627"
"1184","2","5","8","63","45","23","34","464","187","C0001627"
"3737","2","5","8","63","36","166","106","110","158","C0001627"
"2944","2","3","5","91","175","271","372","471","586","C0001627"
"7174","2","3","12","41","116","268","434","468","213","C0001627"
"9652","2","3","2","110","85","237","433","547","671","C0001627"
"10907","2","3","2","22","33","323","66","101","136","C0001627"
"6555","2","5","8","45","94","199","240","415","666","C0001627"
"3630","2","5","7","53","14","20","25","40","186","C0001627"
"57817","2","5","7","34","51","342","350","243","561","C0001627"
"5604","2","5","7","53","14","20","34","540","68","C0001723"
"27173","2","5","5","27","81","99","162","216","290","C0001723"
