"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"2239","2","3","2","74","51","342","454","573","492","C0000768"
"1184","2","5","8","63","45","23","34","464","187","C0000768"
"958","2","5","7","53","51","119","156","568","697","C0000768"
"1001","2","5","7","53","51","335","444","560","373","C0000768"
"3269","2","5","4","68","96","326","427","548","672","C0000768"
"2638","2","5","8","63","45","23","103","464","187","C0000768"
"4514","2","3","2","48","57","110","141","359","5","C0000768"
"3651","2","3","3","19","221","321","428","541","667","C0000768"
"3426","2","5","7","53","51","119","395","549","674","C0000768"
"51128","2","5","7","60","153","24","38","46","72","C0000768"
"25830","2","3","2","27","36","150","341","223","628","C0000768"
"975","2","5","7","53","51","119","395","549","674","C0000832"
"6567","2","5","8","35","41","77","40","57","80","C0000832"
"6261","2","5","8","63","45","23","34","464","187","C0000832"
"8822","2","5","7","53","14","20","25","40","186","C0000887"
"641","2","3","12","19","31","261","116","1","86","C0000887"
"1146","2","5","8","27","70","99","162","216","290","C0000887"
"5831","2","3","2","101","62","189","182","566","409","C0000887"
"1956","2","5","7","53","14","184","45","544","669","C0000887"
"5978","2","3","12","19","31","1","426","55","78","C0000887"
"6736","2","3","12","19","31","276","91","433","667","C0000889"
"4352","2","5","7","53","14","20","25","40","186","C0000889"
"5979","2","5","7","53","14","20","25","40","186","C0000889"
"9829","2","5","7","60","14","184","341","544","669","C0000889"
"3930","2","3","2","22","33","323","66","3","464","C0000889"
"7084","2","3","2","72","109","115","62","268","353","C0000889"
"1836","2","3","2","35","41","94","260","330","375","C0000889"
"28952","2","3","12","41","116","268","434","468","213","C0000889"
"5130","2","3","2","85","143","286","51","488","102","C0000889"
"25939","2","3","12","53","184","119","156","287","116","C0000889"
"3689","2","5","7","34","52","216","395","549","674","C0000889"
"2260","2","5","7","53","14","20","25","40","186","C0000889"
"7167","2","3","2","90","167","266","367","500","577","C0000889"
"1103","2","3","2","67","92","293","55","75","311","C0000889"
"8322","2","5","3","68","221","184","259","544","669","C0000889"
"1080","2","3","12","41","219","339","156","544","669","C0000889"
"26873","2","3","5","83","171","97","237","77","391","C0000889"
"1282","2","5","7","53","51","342","454","573","492","C0000889"
"23095","2","3","7","76","153","40","38","54","75","C0000889"
"1736","2","3","2","110","85","237","433","547","671","C0000889"
"3162","2","3","5","53","51","119","402","489","416","C0001122"
"2733","2","3","2","22","33","323","66","101","664","C0001122"
"5830","2","3","5","43","161","305","409","208","482","C0001122"
"3845","2","5","7","60","54","24","30","46","72","C0001126"
"3845","2","5","7","60","54","24","30","46","72","C0001126"
"25953","2","3","2","67","92","293","137","75","664","C0001126"
"54808","2","3","12","76","153","40","38","54","75","C0001126"
"472","2","3","12","19","31","261","116","1","86","C0001126"
"3694","2","5","7","53","51","342","454","573","492","C0001126"
"3257","2","5","7","60","54","24","30","46","72","C0001126"
"27031","2","3","6","11","142","225","38","331","506","C0001126"
"5972","2","5","5","34","52","216","397","418","568","C0001126"
"1081","2","5","4","68","96","326","427","548","672","C0001126"
"4976","2","3","2","48","170","50","119","444","556","C0001175"
"9126","2","3","12","76","153","40","38","54","75","C0001175"
"1278","2","5","7","53","51","342","454","573","492","C0001175"
"4638","2","5","7","53","45","23","103","464","187","C0001202"
"4524","2","3","2","15","166","104","369","117","583","C0001202"
"10312","2","3","7","34","52","216","395","549","674","C0001206"
"2719","2","5","7","53","51","342","454","573","492","C0001206"
"8220","2","3","2","22","33","323","66","101","136","C0001206"
"6662","2","3","3","19","221","321","428","541","667","C0001206"
"4893","2","5","7","34","52","24","30","46","72","C0001206"
"4582","2","5","7","53","206","324","430","429","544","C0001206"
"3198","2","3","3","19","221","321","428","541","667","C0001206"
"23522","2","3","12","19","31","1","426","55","78","C0001206"
"2517","2","3","7","34","52","216","395","549","674","C0001206"
"9210","2","5","7","53","51","342","454","573","492","C0001206"
"547","2","3","7","76","153","40","38","54","75","C0001206"
"29926","2","3","2","68","66","123","158","207","278","C0001206"
"2261","2","5","7","53","14","20","25","40","186","C0001206"
"4791","2","3","12","41","219","339","156","568","697","C0001206"
"25886","2","3","12","76","153","76","136","472","435","C0001206"
"6716","2","3","2","69","98","169","299","50","494","C0001206"
