"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"146227","2","3","12","34","52","216","347","61","83","C0000768"
"2643","2","3","5","87","91","75","204","267","352","C0000768"
"6496","2","3","3","19","221","321","428","541","667","C0000768"
"4988","2","5","4","68","96","326","427","548","672","C0000768"
"2316","2","5","7","53","51","342","454","573","702","C0000768"
"5144","2","3","4","68","96","326","427","548","672","C0000768"
"3291","2","3","2","69","83","101","94","133","318","C0000768"
"1855","2","5","12","76","153","197","259","560","422","C0000768"
"596","2","3","12","19","219","339","402","489","416","C0000768"
"10516","2","5","7","53","51","342","454","573","492","C0000768"
"10804","2","3","12","76","153","40","38","54","75","C0000768"
"3358","2","5","4","68","96","326","427","548","672","C0000832"
"5080","2","3","3","19","221","321","428","541","667","C0000832"
"4148","2","5","7","53","51","342","454","573","492","C0000832"
"1400","2","3","7","27","36","150","79","560","373","C0000887"
"2239","2","3","2","74","51","342","454","573","492","C0000887"
"3728","2","5","7","34","52","225","142","220","298","C0000887"
"4318","2","5","7","34","52","216","395","573","492","C0000887"
"51360","2","3","3","26","35","276","91","433","203","C0000887"
"1298","2","5","7","53","51","342","454","573","492","C0000887"
"6647","2","3","2","95","2","342","378","173","702","C0000889"
"4313","2","5","7","53","51","342","454","573","492","C0000889"
"1440","2","5","7","53","51","119","25","489","416","C0000889"
"27019","2","3","12","76","153","40","38","54","75","C0000889"
"23426","2","5","7","42","36","71","177","223","219","C0000889"
"5551","2","5","7","53","51","119","395","549","674","C0000889"
"1490","2","5","7","53","51","342","454","573","492","C0000889"
"857","2","5","7","53","45","23","57","83","422","C0000889"
"2200","2","5","7","53","51","342","454","573","492","C0000889"
"2652","2","5","4","68","96","326","427","548","672","C0000889"
"8815","2","3","12","22","33","323","66","444","664","C0000889"
"7169","2","5","8","63","45","23","103","464","187","C0000889"
"10939","2","3","2","48","170","50","119","444","593","C0000889"
"23322","2","3","12","76","153","40","38","54","75","C0000889"
"1376","2","3","2","19","151","276","91","433","118","C0000889"
"55690","2","3","2","48","57","110","141","359","462","C0000889"
"498","2","3","2","48","170","50","304","167","593","C0000889"
"5173","2","5","4","68","96","326","427","548","672","C0000889"
"8200","2","5","7","53","51","342","259","423","389","C0000889"
"7545","2","5","3","34","52","216","142","220","298","C0000889"
"2304","2","3","12","19","221","321","428","541","667","C0001122"
"2184","2","3","5","76","153","138","236","332","407","C0001122"
"6297","2","3","12","41","116","266","402","489","416","C0001122"
"10617","2","3","12","48","57","110","141","359","462","C0001126"
"4771","2","5","7","60","36","71","177","64","215","C0001126"
"6531","2","5","8","45","94","199","240","415","666","C0001126"
"1947","2","5","7","53","51","20","25","560","373","C0001126"
"3868","2","1","6","11","142","225","142","220","298","C0001126"
"10008","2","5","8","63","36","166","341","223","158","C0001126"
"2483","2","3","2","22","33","323","66","101","136","C0001126"
