"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1410","2","3","12","63","45","23","38","54","187","C0000768"
"2395","2","3","2","48","170","50","304","167","593","C0000768"
"1158","2","3","2","72","115","66","72","507","35","C0000768"
"5551","2","5","7","53","51","119","395","549","674","C0000768"
"2668","2","5","7","53","14","20","25","40","186","C0000768"
"2177","2","3","2","110","90","261","431","545","443","C0000768"
"8313","2","3","12","41","219","339","156","568","605","C0000768"
"54714","2","5","8","63","36","166","106","110","158","C0000768"
"5108","2","3","12","76","153","40","38","54","75","C0000768"
"1956","2","5","7","53","14","184","45","544","669","C0000768"
"5429","2","3","12","19","31","261","116","1","86","C0000768"
"2641","2","5","4","68","96","326","427","548","672","C0000832"
"1717","2","3","2","19","151","276","48","69","204","C0000832"
"54806","2","5","7","76","153","40","38","54","75","C0000832"
"4593","2","5","7","53","14","20","454","573","492","C0000887"
"7076","2","5","7","53","51","342","454","573","492","C0000887"
"5652","2","1","6","11","142","225","142","220","298","C0000887"
"652","2","5","7","53","51","342","454","573","492","C0000887"
"9049","2","3","3","41","151","276","378","271","356","C0000887"
"8929","2","3","3","19","221","321","428","541","667","C0000887"
"8200","2","5","7","53","51","342","259","423","389","C0000889"
"3636","2","3","5","80","14","20","25","40","186","C0000889"
"629","2","5","7","53","51","119","395","549","674","C0000889"
"7849","2","3","3","19","221","321","428","541","667","C0000889"
"5580","2","5","7","34","52","216","395","287","116","C0000889"
"1616","2","3","12","19","31","1","426","55","316","C0000889"
"2317","2","5","7","63","45","23","103","287","664","C0000889"
"54903","2","3","12","76","153","40","38","54","75","C0000889"
"2719","2","5","7","53","51","342","454","573","492","C0000889"
"4893","2","5","7","34","52","24","30","46","72","C0000889"
"9533","2","3","2","19","31","1","426","55","78","C0000889"
"2006","2","5","7","53","51","342","454","573","492","C0000889"
"8924","2","3","12","41","116","268","434","468","213","C0000889"
"5244","2","3","3","41","151","276","91","433","118","C0000889"
"23479","2","3","2","48","170","50","119","100","556","C0000889"
"6899","2","5","7","53","184","335","259","560","373","C0000889"
"2332","2","3","2","22","33","71","373","466","609","C0000889"
"1536","2","5","7","34","52","216","395","549","674","C0000889"
"2068","2","3","12","19","31","261","116","159","211","C0000889"
"10046","2","3","12","19","31","143","428","236","667","C0000889"
"3479","2","5","7","53","51","342","454","573","492","C0001122"
"9700","2","3","12","76","153","40","38","54","75","C0001122"
"1028","2","3","12","19","31","1","116","1","86","C0001122"
"91147","2","3","12","76","153","40","38","54","75","C0001126"
"6390","2","3","2","48","170","50","119","444","556","C0001126"
"5624","2","5","7","53","51","342","454","573","492","C0001126"
"2006","2","5","7","53","51","342","454","573","492","C0001126"
"3560","2","5","7","53","14","20","25","40","186","C0001126"
"6774","2","3","12","53","14","276","25","489","416","C0001126"
"51715","2","5","7","60","54","24","30","46","72","C0001126"
"51204","2","3","2","48","170","50","119","444","556","C0001126"
"25915","2","3","2","48","170","50","119","444","556","C0001126"
"4157","2","5","4","68","96","326","427","548","672","C0001126"
"9871","2","3","7","60","153","40","38","54","203","C0001175"
"2239","2","3","2","74","51","342","454","573","492","C0001175"
"4539","2","3","2","53","184","86","107","560","195","C0001175"
"7351","2","3","2","20","29","98","123","166","221","C0001202"
"7051","2","1","6","11","142","225","142","220","298","C0001202"
"54539","2","3","2","48","170","50","119","444","556","C0001206"
"9731","2","3","12","76","153","40","38","54","75","C0001206"
"2022","2","5","7","53","51","342","259","423","389","C0001206"
"229","2","3","2","90","167","266","367","500","577","C0001206"
"9627","2","3","12","19","31","1","426","55","78","C0001206"
"1644","2","3","2","88","79","239","333","258","345","C0001206"
"4318","2","5","7","34","52","216","395","573","492","C0001206"
"2705","2","3","12","76","153","40","38","54","75","C0001206"
"4853","2","3","12","19","124","143","428","236","667","C0001206"
"4598","2","3","2","19","151","276","198","259","427","C0001206"
"6011","2","5","7","53","14","20","34","540","68","C0001206"
"5734","2","5","4","68","96","326","427","548","672","C0001206"
"1351","2","3","2","48","170","110","141","359","462","C0001206"
"3106","2","5","7","34","52","119","395","549","674","C0001206"
"7518","2","3","12","19","31","261","116","1","86","C0001206"
"2314","2","3","12","63","45","184","103","572","658","C0001206"
"7084","2","3","2","72","109","115","62","268","353","C0001206"
"4853","2","3","12","19","124","143","428","236","667","C0001339"
"5518","2","3","12","76","153","40","38","54","435","C0001339"
"207","2","3","7","53","14","20","34","489","416","C0001339"
"9401","2","3","12","76","31","261","116","1","86","C0001403"
"9049","2","3","3","41","151","276","378","271","356","C0001403"
"5443","2","5","4","68","96","326","427","548","672","C0001403"
"4359","2","5","7","53","51","342","454","573","492","C0001403"
"5332","2","3","4","68","96","326","427","548","672","C0001403"
"2147","2","5","7","68","51","342","454","573","492","C0001403"
"540","2","5","8","63","45","23","103","464","187","C0001403"
"6334","2","5","8","63","36","166","341","223","158","C0001403"
