"gene","0","0.5","1","1.5","2","2.5","3","3.5","4","disease"
"1","10060","2","3","8","41","45","23","423","464","445","C0000768"
"2","7169","2","5","8","63","45","23","103","464","187","C0000768"
"3","6813","2","5","7","53","51","342","454","573","702","C0000768"
"4","8626","2","3","3","19","221","321","428","541","667","C0000768"
"5","6786","2","5","8","63","45","23","103","464","187","C0000768"
"6","6876","2","5","7","53","51","342","454","573","492","C0000768"
"7","3976","2","5","7","53","51","119","25","489","416","C0000768"
"8","7468","2","3","12","19","31","1","426","55","78","C0000768"
"9","2623","2","3","12","19","31","1","155","287","116","C0000768"
"10","56246","2","5","4","68","96","326","427","548","672","C0000768"
"11","2176","2","3","12","19","31","261","116","1","86","C0000768"
"12","5328","2","5","7","34","52","216","395","549","674","C0000832"
"13","1991","2","5","7","34","52","216","395","549","674","C0000832"
"14","6499","2","3","2","110","85","237","433","547","671","C0000832"
"15","8322","2","5","3","68","221","184","259","544","669","C0000887"
"16","22930","2","5","7","60","54","24","30","46","72","C0000887"
"17","6662","2","3","3","19","221","321","428","541","667","C0000887"
"18","6611","2","3","2","58","55","25","46","329","198","C0000887"
"19","2778","2","5","4","68","96","326","427","548","672","C0000887"
"20","2353","2","3","12","19","31","1","91","489","416","C0000887"
"21","2022","2","5","7","53","51","342","259","423","389","C0000889"
"22","57674","2","3","12","41","116","268","434","468","213","C0000889"
"23","3691","2","5","7","53","51","342","454","573","492","C0000889"
"24","695","2","5","7","53","14","20","25","40","186","C0000889"
"25","5993","2","3","12","19","31","1","426","55","78","C0000889"
"26","8842","2","5","5","53","82","147","184","179","328","C0000889"
"27","673","2","5","7","53","14","20","34","540","68","C0000889"
"28","10806","2","3","12","76","153","40","38","54","75","C0000889"
"29","7253","2","5","4","68","96","326","427","548","672","C0000889"
"30","9210","2","5","7","53","51","342","454","573","492","C0000889"
"31","4352","2","5","7","53","14","20","25","40","186","C0000889"
"32","5373","2","3","2","90","167","123","158","207","278","C0000889"
"33","2068","2","3","12","19","31","261","116","159","211","C0000889"
"34","51651","2","3","12","41","219","339","156","568","605","C0000889"
"35","860","2","3","12","19","31","276","91","433","118","C0000889"
"36","1586","2","3","5","79","98","256","335","425","540","C0000889"
"37","5071","2","3","12","41","116","268","434","468","213","C0000889"
"38","4089","2","3","12","19","219","339","259","423","605","C0000889"
"39","9420","2","3","5","79","159","256","215","282","366","C0000889"
"40","207","2","3","7","53","14","20","34","489","416","C0000889"
"41","4792","2","3","12","41","219","339","156","568","605","C0001122"
"42","55605","2","3","12","76","153","40","38","54","75","C0001122"
"43","287","2","5","7","76","153","40","38","54","203","C0001122"
"44","51741","2","3","2","22","33","323","66","101","127","C0001126"
"45","9723","2","5","7","53","51","342","79","560","373","C0001126"
"46","6495","2","3","3","19","221","321","428","541","667","C0001126"
"47","26277","2","3","12","19","31","1","426","1","78","C0001126"
"48","2304","2","3","12","19","221","321","428","541","667","C0001126"
"49","8924","2","3","12","41","116","268","434","468","213","C0001126"
"50","4358","2","3","5","43","161","305","409","208","482","C0001126"
"51","5420","2","5","7","34","52","342","454","64","492","C0001126"
