"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"4313","2","5","7","53","51","342","454","573","492","C0000768"
"2261","2","5","7","53","14","20","25","40","186","C0000768"
"1281","2","5","7","53","51","342","454","573","492","C0000768"
"6655","2","5","7","60","54","24","30","46","72","C0000768"
"4763","2","5","7","60","54","24","30","46","214","C0000768"
"9469","2","3","2","103","189","303","29","475","467","C0000768"
"4541","2","3","2","48","170","50","119","444","24","C0000768"
"1594","2","3","5","92","163","96","363","460","487","C0000768"
"6331","2","5","8","63","36","166","341","223","158","C0000768"
"213","2","5","7","53","51","342","454","573","492","C0000768"
"6908","2","3","12","19","31","1","116","159","211","C0000768"
"3784","2","5","8","63","36","166","106","110","158","C0000832"
"2969","2","3","12","19","31","276","91","433","118","C0000832"
"7681","2","3","12","41","116","268","434","468","213","C0000832"
"551","2","5","4","68","96","326","427","548","672","C0000887"
"8200","2","5","7","53","51","342","259","423","389","C0000887"
"4886","2","5","4","68","96","326","427","548","672","C0000887"
"4000","2","3","12","26","105","178","226","297","156","C0000887"
"9915","2","3","3","27","151","276","91","433","118","C0000887"
"4948","2","5","8","63","45","23","250","464","187","C0000887"
"4851","2","3","12","19","221","143","428","236","667","C0000889"
"4313","2","5","7","53","51","342","454","573","492","C0000889"
"6154","2","3","2","110","85","237","433","547","671","C0000889"
"3032","2","3","2","48","57","38","347","12","145","C0000889"
"23495","2","3","12","41","219","339","156","568","697","C0000889"
"207","2","3","7","53","14","20","34","489","416","C0000889"
"3265","2","5","7","60","54","24","30","46","72","C0000889"
"9244","2","5","7","53","51","119","25","40","416","C0000889"
"5193","2","3","5","43","161","305","409","208","482","C0000889"
"5873","2","5","7","34","54","24","30","46","72","C0000889"
"55630","2","3","5","27","81","99","162","216","290","C0000889"
"2629","2","3","5","80","81","250","291","152","420","C0000889"
"7015","2","3","12","19","31","1","426","55","78","C0000889"
"7525","2","5","7","53","14","20","25","40","186","C0000889"
"55120","2","3","12","19","31","261","116","1","86","C0000889"
"9869","2","3","12","19","31","1","426","55","78","C0000889"
"1991","2","5","7","34","52","216","395","549","674","C0000889"
"4153","2","5","7","53","51","119","395","549","674","C0000889"
