"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"2627","2","3","12","19","31","118","155","287","116","C0000768"
"5828","2","3","5","43","161","305","409","208","482","C0000768"
"50485","2","3","12","19","31","261","116","1","86","C0000768"
"1301","2","5","7","53","51","342","454","573","492","C0000768"
"26281","2","5","7","53","14","20","25","40","186","C0000768"
"29851","2","5","7","53","14","20","25","40","186","C0000768"
"9935","2","3","12","19","31","1","426","55","78","C0000768"
"6886","2","3","12","19","31","1","426","55","78","C0000768"
"644096","2","3","2","48","170","50","119","167","556","C0000768"
"8878","2","3","12","41","219","339","156","568","697","C0000768"
"4647","2","5","7","60","83","101","126","170","224","C0000768"
"7053","2","3","6","11","142","225","142","220","298","C0000832"
"5745","2","5","4","68","96","326","427","548","672","C0000832"
"5075","2","3","3","19","221","321","428","541","667","C0000832"
"7273","2","5","7","53","51","342","103","464","702","C0000887"
"1832","2","5","7","34","52","225","142","220","298","C0000887"
"1723","2","3","2","48","170","50","119","444","556","C0000887"
"2625","2","3","12","19","31","339","155","287","116","C0000887"
"345","2","5","7","53","51","342","454","573","492","C0000887"
"2100","2","3","3","19","151","276","91","433","118","C0000887"
"6638","2","3","2","22","33","323","66","101","136","C0000889"
"5605","2","5","7","53","14","20","34","540","68","C0000889"
"613","2","5","7","60","54","24","30","46","72","C0000889"
"6323","2","5","8","63","36","166","341","390","158","C0000889"
"29954","2","5","2","27","206","324","430","215","290","C0000889"
"2562","2","5","8","27","70","99","162","216","290","C0000889"
"2254","2","5","7","53","14","20","25","40","186","C0000889"
"2677","2","5","7","53","51","342","454","573","492","C0000889"
"7048","2","5","7","53","51","342","259","423","389","C0000889"
"3991","2","3","5","80","81","166","57","83","658","C0000889"
"2956","2","3","12","19","31","261","116","1","86","C0000889"
"7979","2","3","12","41","116","268","434","468","605","C0000889"
"2706","2","3","12","76","153","40","38","54","75","C0000889"
"4536","2","3","2","48","170","50","119","444","556","C0000889"
"26146","2","3","12","76","153","40","38","54","75","C0000889"
"4313","2","5","7","53","51","342","454","573","492","C0000889"
"7490","2","3","3","19","221","321","428","541","667","C0000889"
"23562","2","5","6","42","36","71","177","64","219","C0000889"
"2146","2","3","12","19","31","1","426","55","78","C0000889"
"4851","2","3","12","19","221","143","428","236","667","C0000889"
"10262","2","3","2","22","33","323","66","101","136","C0001122"
"59","2","5","8","63","45","23","103","464","187","C0001122"
