"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"56623","2","3","5","80","81","296","118","543","214","C0000768"
"3859","2","1","6","11","142","225","142","220","298","C0000768"
"22891","2","3","12","76","153","40","341","54","75","C0000768"
"26229","2","3","2","74","205","191","396","408","257","C0000768"
"1535","2","5","7","34","52","216","395","549","674","C0000768"
"54888","2","3","2","110","85","152","129","252","154","C0000768"
"56623","2","3","5","80","81","296","118","543","214","C0000768"
"1499","2","3","12","19","221","197","259","560","422","C0000768"
"4512","2","3","2","48","170","110","141","359","8","C0000768"
"23025","2","5","7","60","36","71","341","223","624","C0000768"
"5020","2","5","4","68","96","326","427","548","672","C0000768"
"3856","2","1","6","11","142","225","142","220","298","C0000832"
"2512","2","3","7","34","52","216","395","544","358","C0000832"
"5336","2","3","7","53","14","20","25","40","215","C0000832"
"10815","2","5","7","60","36","71","341","223","666","C0000887"
"1548","2","3","5","91","214","226","326","447","586","C0000887"
"2668","2","5","7","53","14","20","25","40","186","C0000887"
"23126","2","3","12","19","31","276","426","55","78","C0000887"
"23600","2","3","5","80","81","305","409","208","482","C0000887"
"3796","2","3","12","76","153","40","38","54","75","C0000887"
"3081","2","3","2","91","51","3","267","308","429","C0000889"
"5506","2","3","12","76","137","76","136","82","658","C0000889"
"6664","2","3","3","19","221","321","428","541","667","C0000889"
"158","2","3","4","96","177","61","373","341","142","C0000889"
"7373","2","5","7","53","51","342","454","573","492","C0000889"
"1356","2","3","7","53","51","342","454","573","492","C0000889"
"3845","2","5","7","60","54","24","30","46","72","C0000889"
"4538","2","3","2","48","170","50","119","444","556","C0000889"
"7263","2","3","2","14","156","168","439","242","256","C0000889"
"3265","2","5","7","60","54","24","30","46","72","C0000889"
"7421","2","3","3","19","151","276","91","433","118","C0000889"
"5657","2","5","7","34","52","216","395","549","674","C0000889"
"79751","2","3","2","10","180","290","26","73","74","C0000889"
"6334","2","5","8","63","36","166","341","223","158","C0000889"
"9820","2","3","12","41","116","268","434","468","213","C0000889"
"9928","2","3","12","76","153","40","38","54","75","C0000889"
"445","2","3","2","84","97","167","210","278","360","C0000889"
"9723","2","5","7","53","51","342","79","560","373","C0000889"
"3845","2","5","7","60","54","24","30","46","72","C0000889"
"3852","2","1","6","11","142","225","142","220","298","C0000889"
"4286","2","3","12","19","31","261","116","1","664","C0001122"
"3237","2","3","3","19","221","321","428","541","667","C0001122"
"50511","2","3","12","19","31","1","426","55","78","C0001122"
"3569","2","5","7","53","51","342","454","573","416","C0001126"
"3914","2","5","7","53","51","342","454","573","492","C0001126"
"1736","2","3","2","110","85","237","433","547","671","C0001126"
"54","2","3","5","80","81","178","195","256","342","C0001126"
"858","2","5","7","53","14","23","25","40","186","C0001126"
"3425","2","3","5","80","81","166","454","573","492","C0001126"
"2316","2","5","7","53","51","342","454","573","702","C0001126"
"8820","2","3","3","19","221","321","428","541","667","C0001126"
"4935","2","5","4","68","96","326","427","548","672","C0001126"
"55130","2","3","12","76","153","76","38","54","75","C0001126"
"728","2","5","4","34","96","326","427","548","672","C0001175"
"3592","2","5","7","53","51","119","25","489","416","C0001175"
"5144","2","3","4","68","96","326","427","548","672","C0001175"
"2731","2","3","2","106","104","214","234","67","53","C0001202"
"81608","2","3","2","22","33","323","66","101","136","C0001202"
"5406","2","3","5","80","81","166","454","76","106","C0001206"
"23556","2","3","2","61","77","142","176","235","317","C0001206"
"55704","2","3","12","76","153","40","38","54","75","C0001206"
"161582","2","3","2","48","57","110","141","359","462","C0001206"
"5290","2","3","7","53","14","20","25","40","186","C0001206"
"8036","2","5","7","60","54","296","399","359","658","C0001206"
"1387","2","3","12","19","31","276","91","433","118","C0001206"
"7490","2","3","3","19","221","321","428","541","667","C0001206"
"4635","2","5","8","63","45","23","103","464","187","C0001206"
"3708","2","5","8","63","45","23","306","390","158","C0001206"
"10133","2","3","12","76","153","40","38","54","75","C0001206"
"4763","2","5","7","60","54","24","30","46","214","C0001206"
"2492","2","5","4","68","96","326","427","548","672","C0001206"
"9213","2","5","7","68","96","184","219","380","666","C0001206"
"5728","2","3","5","80","81","339","156","568","605","C0001206"
"3229","2","3","3","19","221","321","428","541","667","C0001206"
"1272","2","5","7","53","51","335","444","236","373","C0001206"
"6392","2","3","2","48","170","50","119","444","556","C0001339"
"3481","2","5","7","53","51","342","454","573","492","C0001339"
"3425","2","3","5","80","81","166","454","573","492","C0001339"
"5122","2","5","4","27","36","184","141","359","411","C0001403"
"10102","2","3","2","48","182","67","76","463","153","C0001403"
"9126","2","3","12","76","153","40","38","54","75","C0001403"
"5605","2","5","7","53","14","20","34","540","68","C0001403"
"2260","2","5","7","53","14","20","25","40","186","C0001403"
"8312","2","3","12","41","219","339","156","568","605","C0001403"
"2626","2","3","12","19","31","118","155","287","116","C0001403"
"779","2","5","8","63","36","166","341","390","158","C0001403"
"2033","2","3","12","19","31","1","91","433","118","C0001403"
"2315","2","5","8","63","45","23","141","464","187","C0001403"
"4072","2","5","7","53","51","119","454","573","492","C0001403"
"23095","2","3","7","76","153","40","38","54","75","C0001403"
"10087","2","3","7","50","47","39","100","321","255","C0001403"
"10585","2","5","2","27","206","324","430","215","290","C0001403"
"3594","2","5","7","53","51","119","25","560","373","C0001403"
"3418","2","3","2","67","151","276","33","48","155","C0001403"
"6785","2","3","5","67","7","5","239","311","393","C0001403"
"207","2","3","7","53","14","20","34","489","416","C0001403"
"128178","2","3","12","41","219","339","156","568","697","C0001430"
"22796","2","5","7","60","153","40","38","66","203","C0001430"
"5321","2","3","5","116","183","295","398","243","327","C0001430"
"4893","2","5","7","34","52","24","30","46","72","C0001430"
"5568","2","3","12","53","14","20","34","540","68","C0001430"
"5663","2","5","7","34","52","216","395","549","667","C0001430"
"2201","2","5","7","53","51","342","454","573","492","C0001430"
"22931","2","5","7","34","54","24","30","46","72","C0001430"
"64764","2","3","5","26","35","276","91","433","156","C0001430"
"4929","2","3","3","19","151","276","91","433","118","C0001430"
"5296","2","5","7","53","14","20","25","40","186","C0001430"
"477","2","3","8","63","45","23","103","464","187","C0001430"
"4247","2","3","2","68","67","320","98","180","279","C0001430"
"4318","2","5","7","34","52","216","395","573","492","C0001430"
"3636","2","3","5","80","14","20","25","40","186","C0001430"
"1401","2","5","7","53","51","119","395","573","492","C0001430"
"4882","2","3","4","68","96","326","427","548","672","C0001430"
"1289","2","5","7","53","51","342","454","573","492","C0001430"
"4000","2","3","12","26","105","178","226","297","156","C0001430"
"5982","2","3","12","19","31","261","116","1","86","C0001430"
"1959","2","3","3","19","151","276","91","433","118","C0001430"
"6640","2","5","7","42","36","71","177","223","219","C0001430"
"1268","2","5","4","68","96","326","427","548","672","C0001430"
"1911","2","3","12","19","31","1","426","55","78","C0001430"
"1144","2","5","8","27","70","99","162","216","290","C0001430"
"6445","2","5","8","63","45","23","103","464","187","C0001430"
"4337","2","3","2","80","91","75","204","267","352","C0001430"
"4864","2","3","5","48","152","184","341","544","669","C0001430"
"6595","2","3","12","19","31","1","426","55","78","C0001430"
"5156","2","5","7","53","14","20","25","40","186","C0001430"
"554","2","5","4","68","96","326","427","548","672","C0001430"
"5015","2","3","3","19","221","321","428","541","667","C0001430"
"10194","2","5","7","53","221","321","259","423","389","C0001618"
"134701","2","3","12","19","219","1","426","55","78","C0001618"
"4891","2","3","2","25","44","165","101","274","358","C0001618"
"7157","2","3","12","19","31","261","402","489","551","C0001621"
"8600","2","5","7","41","219","339","156","568","697","C0001621"
"7486","2","3","12","19","31","261","116","1","86","C0001623"
"29954","2","5","2","27","206","324","430","215","290","C0001623"
"1390","2","3","12","19","151","276","91","433","118","C0001623"
"7099","2","5","7","41","219","339","156","568","697","C0001623"
"4548","2","3","2","15","85","105","139","186","245","C0001623"
"2317","2","5","7","63","45","23","103","287","664","C0001623"
"11232","2","3","3","19","151","276","91","433","118","C0001623"
"5265","2","5","7","34","52","216","395","573","702","C0001623"
"5053","2","3","5","80","81","166","236","308","390","C0001623"
"2296","2","3","3","19","221","321","428","541","667","C0001624"
"4539","2","3","2","53","184","86","107","560","195","C0001624"
"2263","2","5","7","53","14","20","25","40","186","C0001624"
"3207","2","3","3","19","221","321","428","541","667","C0001624"
"9056","2","3","8","45","94","199","240","415","666","C0001624"
"1280","2","5","7","53","51","342","454","573","492","C0001624"
"4204","2","3","12","19","31","1","426","55","78","C0001624"
"4255","2","3","12","19","31","261","116","1","86","C0001624"
"11005","2","1","6","11","142","225","142","220","298","C0001624"
"1277","2","5","7","53","51","342","454","573","492","C0001624"
"1487","2","3","12","19","31","1","426","55","340","C0001624"
"2314","2","3","12","63","45","184","103","572","658","C0001627"
"5617","2","5","12","19","31","1","426","55","78","C0001627"
"4512","2","3","2","48","170","110","141","359","8","C0001627"
"7157","2","3","12","19","31","261","402","489","551","C0001627"
"3728","2","5","7","34","52","225","142","220","298","C0001627"
"51185","2","3","2","22","33","323","66","101","136","C0001627"
"5255","2","3","7","34","45","23","103","464","187","C0001627"
"26277","2","3","12","19","31","1","426","1","78","C0001627"
"1193","2","5","8","63","45","23","34","464","187","C0001627"
"25886","2","3","12","76","153","76","136","472","435","C0001627"
"1282","2","5","7","53","51","342","454","573","492","C0001627"
"11107","2","3","12","19","31","1","426","55","78","C0001723"
"7471","2","5","3","68","221","197","259","560","422","C0001723"
"2773","2","5","4","68","96","326","427","548","672","C0001723"
"10262","2","3","2","22","33","323","66","101","136","C0001723"
"3930","2","3","2","22","33","323","66","3","464","C0001723"
"2799","2","3","7","34","52","216","395","549","33","C0001723"
