"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"8600","2","5","7","41","219","339","156","568","697","C0000768"
"25836","2","3","12","76","153","40","38","54","75","C0000768"
"27125","2","3","12","19","31","261","116","159","211","C0000768"
"2248","2","5","7","53","14","20","25","40","186","C0000768"
"5604","2","5","7","53","14","20","34","540","68","C0000768"
"1287","2","5","2","53","51","342","454","573","492","C0000768"
"1380","2","5","7","53","51","119","395","549","674","C0000768"
"4864","2","3","5","48","152","184","341","544","669","C0000768"
"51025","2","3","2","48","170","50","304","167","593","C0000768"
"6947","2","5","7","34","52","216","395","549","674","C0000768"
"5290","2","3","7","53","14","20","25","40","186","C0000768"
"3426","2","5","7","53","51","119","395","549","674","C0000832"
"23529","2","5","7","53","51","119","25","40","416","C0000832"
"2627","2","3","12","19","31","118","155","287","116","C0000832"
"5830","2","3","5","43","161","305","409","208","482","C0000887"
"5277","2","3","2","61","77","142","176","235","317","C0000887"
"4791","2","3","12","41","219","339","156","568","697","C0000887"
"2316","2","5","7","53","51","342","454","573","702","C0000887"
"2664","2","5","7","60","54","24","30","46","72","C0000887"
"5727","2","3","12","68","221","197","259","560","422","C0000887"
"2629","2","3","5","80","81","250","291","152","420","C0000889"
"4210","2","3","12","41","219","339","156","568","697","C0000889"
"9343","2","3","2","22","33","323","66","101","136","C0000889"
"3265","2","5","7","60","54","24","30","46","72","C0000889"
"2263","2","5","7","53","14","20","25","40","186","C0000889"
"53904","2","5","7","53","14","20","34","540","68","C0000889"
"5314","2","3","12","76","153","40","38","54","75","C0000889"
"7432","2","5","4","68","96","326","427","548","672","C0000889"
"2033","2","3","12","19","31","1","91","433","118","C0000889"
"4750","2","5","12","76","14","20","34","540","68","C0000889"
"54790","2","3","12","19","31","1","426","55","78","C0000889"
"128674","2","5","4","68","96","326","427","548","672","C0000889"
"1292","2","5","7","53","51","342","454","573","492","C0000889"
"4036","2","5","7","60","14","184","341","544","669","C0000889"
"816","2","5","7","53","14","20","34","540","68","C0000889"
"2138","2","3","12","19","31","1","426","55","78","C0000889"
"8878","2","3","12","41","219","339","156","568","697","C0000889"
"22954","2","3","12","41","116","268","434","468","213","C0000889"
"2651","2","3","2","78","184","202","124","337","434","C0000889"
"190","2","3","3","19","151","276","91","433","118","C0000889"
"6598","2","3","12","19","31","1","426","55","78","C0001122"
"2697","2","3","7","76","153","40","38","54","75","C0001122"
"4322","2","5","7","53","51","342","454","573","492","C0001122"
"2627","2","3","12","19","31","118","155","287","116","C0001126"
"9829","2","5","7","60","14","184","341","544","669","C0001126"
"8086","2","3","12","22","33","323","66","101","664","C0001126"
"2316","2","5","7","53","51","342","454","573","702","C0001126"
"7450","2","5","7","53","51","342","454","573","492","C0001126"
"1062","2","3","12","76","153","40","38","54","75","C0001126"
"23742","2","5","5","68","96","326","427","447","586","C0001126"
"5828","2","3","5","43","161","305","409","208","482","C0001126"
