"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1281","2","5","7","53","51","342","454","573","492","C0000768"
"10042","2","3","12","19","31","1","426","55","78","C0000768"
"83452","2","5","7","60","54","24","30","46","72","C0000768"
"229","2","3","2","90","167","266","367","500","577","C0000768"
"54714","2","5","8","63","36","166","106","110","158","C0000768"
"4487","2","3","3","19","221","321","428","541","667","C0000768"
"26154","2","3","5","47","144","185","238","310","392","C0000768"
"9723","2","5","7","53","51","342","79","560","373","C0000768"
"3265","2","5","7","60","54","24","30","46","72","C0000768"
"2290","2","3","3","19","221","321","428","541","667","C0000768"
"847","2","3","7","34","52","216","395","549","674","C0000768"
"2632","2","3","2","28","22","48","232","82","114","C0000832"
"9217","2","3","2","50","47","39","100","321","255","C0000832"
"8322","2","5","3","68","221","184","259","544","669","C0000832"
"10806","2","3","12","76","153","40","38","54","75","C0000887"
"1277","2","5","7","53","51","342","454","573","492","C0000887"
"5179","2","5","4","68","96","326","427","548","672","C0000887"
"5205","2","3","8","63","45","23","103","464","619","C0000887"
"6011","2","5","7","53","14","20","34","540","68","C0000887"
"2243","2","5","7","53","51","342","454","573","492","C0000887"
"26608","2","3","2","22","170","50","119","463","153","C0000889"
"7124","2","3","12","41","219","339","156","568","697","C0000889"
"175","2","3","7","34","52","216","395","549","674","C0000889"
"8892","2","3","2","110","85","237","433","547","671","C0000889"
"7170","2","5","8","63","45","23","103","464","187","C0000889"
"22999","2","5","7","60","36","71","341","223","219","C0000889"
"2239","2","3","2","74","51","342","454","573","492","C0000889"
"4000","2","3","12","26","105","178","226","297","156","C0000889"
"55112","2","3","12","76","153","40","38","54","75","C0000889"
"4684","2","5","7","53","51","335","444","560","373","C0000889"
"10195","2","3","2","48","69","99","162","216","290","C0000889"
"29072","2","3","12","19","31","1","426","55","78","C0000889"
"8643","2","5","3","68","221","197","259","560","422","C0000889"
"51062","2","5","7","27","36","150","402","489","373","C0000889"
"9469","2","3","2","103","189","303","29","475","467","C0000889"
"2697","2","3","7","76","153","40","38","54","75","C0000889"
"54539","2","3","2","48","170","50","119","444","556","C0000889"
"3717","2","5","7","53","14","20","25","40","186","C0000889"
"26012","2","3","12","19","31","261","116","159","211","C0000889"
