"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"7053","2","3","6","11","142","225","142","220","298","C0000768"
"10195","2","3","2","48","69","99","162","216","290","C0000768"
"5631","2","3","2","72","119","109","266","336","452","C0000768"
"6121","2","3","2","69","83","101","126","170","224","C0000768"
"27306","2","3","5","91","175","271","372","471","586","C0000768"
"7490","2","3","3","19","221","321","428","541","667","C0000768"
"1794","2","5","7","34","52","216","395","549","674","C0000768"
"7290","2","3","12","19","31","1","426","55","78","C0000768"
"23312","2","5","7","60","36","71","341","223","624","C0000768"
"2774","2","2","1","9","15","21","28","42","62","C0000768"
"4128","2","3","5","80","81","119","402","489","416","C0000768"
"3918","2","5","7","53","51","342","454","573","492","C0000832"
"3763","2","5","8","63","36","166","106","110","158","C0000832"
"1301","2","5","7","53","51","342","454","573","492","C0000832"
"4968","2","3","12","19","31","261","116","1","86","C0000887"
"5172","2","5","8","45","94","199","240","415","666","C0000887"
"4791","2","3","12","41","219","339","156","568","697","C0000887"
"54716","2","5","8","45","94","199","240","415","666","C0000887"
"6559","2","5","8","45","94","199","240","415","666","C0000887"
"311","2","3","2","48","142","40","202","359","462","C0000887"
"29072","2","3","12","19","31","1","426","55","78","C0000889"
"2263","2","5","7","53","14","20","25","40","186","C0000889"
"3872","2","1","6","11","142","225","142","220","298","C0000889"
"673","2","5","7","53","14","20","34","540","68","C0000889"
"4509","2","3","2","48","170","50","119","444","556","C0000889"
"2033","2","3","12","19","31","1","91","433","118","C0000889"
"9365","2","3","7","53","14","20","25","40","186","C0000889"
"4353","2","3","7","34","52","216","395","549","674","C0000889"
"1030","2","3","12","19","31","1","426","55","78","C0000889"
"23334","2","3","5","48","179","289","133","179","476","C0000889"
"2911","2","5","4","68","96","326","427","548","672","C0000889"
"473","2","3","12","19","31","1","426","55","78","C0000889"
"2263","2","5","7","53","14","20","25","40","186","C0000889"
"1312","2","3","2","87","79","105","426","129","25","C0000889"
"55636","2","3","3","19","221","321","428","423","389","C0000889"
"2261","2","5","7","53","14","20","25","40","186","C0000889"
"3918","2","5","7","53","51","342","454","573","492","C0000889"
"8022","2","3","3","110","85","321","428","541","667","C0000889"
"9895","2","3","2","48","57","110","141","359","462","C0000889"
"6314","2","3","12","19","31","1","426","568","78","C0000889"
"5781","2","5","7","53","14","20","25","40","186","C0001122"
"3592","2","5","7","53","51","119","25","489","416","C0001122"
"348","2","5","7","53","51","342","454","573","492","C0001122"
"7468","2","3","12","19","31","1","426","55","78","C0001126"
"9896","2","3","5","80","81","296","399","201","274","C0001126"
"6392","2","3","2","48","170","50","119","444","556","C0001126"
"5731","2","5","4","68","96","326","427","548","672","C0001126"
"4041","2","5","3","68","221","197","259","560","422","C0001126"
"3909","2","5","7","53","51","342","454","573","492","C0001126"
"1440","2","5","7","53","51","119","25","489","416","C0001126"
"9533","2","3","2","19","31","1","426","55","78","C0001126"
"5602","2","3","12","19","14","150","34","540","68","C0001126"
"9094","2","5","7","27","36","150","341","331","624","C0001126"
"3265","2","5","7","60","54","24","30","46","72","C0001175"
"5189","2","3","5","43","161","305","409","208","482","C0001175"
"2778","2","5","4","68","96","326","427","548","672","C0001175"
"10216","2","3","2","48","170","50","304","167","593","C0001202"
"2879","2","3","5","80","81","166","378","173","229","C0001202"
"650","2","5","7","53","51","342","259","423","389","C0001206"
"3636","2","3","5","80","14","20","25","40","186","C0001206"
"6262","2","5","8","63","45","23","34","464","187","C0001206"
"2067","2","3","12","19","31","261","116","1","86","C0001206"
"3614","2","3","7","34","52","216","395","549","674","C0001206"
"55505","2","3","2","110","85","237","433","547","671","C0001206"
"7248","2","3","2","48","57","110","141","359","462","C0001206"
"51364","2","3","6","11","142","225","142","220","298","C0001206"
"355","2","3","7","41","219","339","156","568","697","C0001206"
"3945","2","3","2","62","137","76","136","212","286","C0001206"
"2260","2","5","7","53","14","20","25","40","186","C0001206"
"478","2","3","8","63","45","23","366","464","187","C0001206"
"2317","2","5","7","63","45","23","103","287","664","C0001206"
"5428","2","3","2","48","170","50","119","167","593","C0001206"
"4158","2","5","4","68","96","326","427","548","672","C0001206"
"4286","2","3","12","19","31","261","116","1","664","C0001206"
"2771","2","5","4","68","96","326","427","548","672","C0001206"
"1230","2","5","4","68","96","326","427","548","672","C0001339"
"80326","2","5","3","68","221","197","259","560","422","C0001339"
"6938","2","3","12","19","31","1","426","55","78","C0001339"
"1147","2","3","12","41","219","339","156","568","697","C0001403"
"26610","2","3","12","19","31","1","426","55","78","C0001403"
"5663","2","5","7","34","52","216","395","549","667","C0001403"
"1028","2","3","12","19","31","1","116","1","86","C0001403"
"486","2","5","8","63","45","23","103","464","187","C0001403"
"25836","2","3","12","76","153","40","38","54","75","C0001403"
"7290","2","3","12","19","31","1","426","55","78","C0001403"
"7015","2","3","12","19","31","1","426","55","78","C0001403"
"6335","2","5","8","63","36","166","341","390","158","C0001403"
"5913","2","5","7","27","36","71","341","223","219","C0001403"
"5771","2","5","7","53","14","296","25","40","186","C0001403"
"275","2","3","5","106","104","214","70","377","488","C0001403"
"1717","2","3","2","19","151","276","48","69","204","C0001403"
"3700","2","5","7","53","51","342","454","573","702","C0001403"
"6891","2","3","12","41","116","119","156","568","116","C0001403"
"10280","2","3","2","110","85","52","57","86","119","C0001403"
"3257","2","5","7","60","54","24","30","46","72","C0001403"
"10166","2","3","2","84","97","167","210","278","360","C0001403"
