"gene","0","0.5","1","1.5","2","2.5","3","3.5","4","disease"
"1","1487","2","3","12","19","31","1","426","55","340","C0000768"
"2","4000","2","3","12","26","105","178","226","297","156","C0000768"
"3","90","2","5","7","53","51","342","259","423","389","C0000768"
"4","4094","2","3","12","19","31","276","91","433","118","C0000768"
"5","1834","2","5","7","53","51","342","454","573","492","C0000768"
"6","10166","2","3","2","84","97","167","210","278","360","C0000768"
"7","54567","2","5","7","53","51","143","428","236","667","C0000768"
"8","7704","2","3","12","41","116","268","434","468","213","C0000768"
"9","10806","2","3","12","76","153","40","38","54","75","C0000768"
"10","5921","2","5","7","60","14","24","25","40","215","C0000768"
"11","2395","2","3","2","48","170","50","304","167","593","C0000768"
"12","6774","2","3","12","53","14","276","25","489","416","C0000832"
"13","1832","2","5","7","34","52","225","142","220","298","C0000832"
"14","8200","2","5","7","53","51","342","259","423","389","C0000832"
"15","1139","2","5","8","27","70","99","162","216","290","C0000887"
"16","554","2","5","4","68","96","326","427","548","672","C0000887"
"17","4540","2","3","2","48","170","50","119","444","556","C0000887"
"18","113278","2","3","5","38","190","304","408","517","637","C0000887"
"19","3643","2","5","7","53","14","20","25","40","186","C0000887"
"20","598","2","3","12","41","219","339","402","489","416","C0000887"
"21","7319","2","3","12","41","116","268","434","468","213","C0000889"
"22","4538","2","3","2","48","170","50","119","444","556","C0000889"
"23","1130","2","5","7","60","54","326","141","359","462","C0000889"
"24","3155","2","3","5","43","161","305","409","208","482","C0000889"
"25","2623","2","3","12","19","31","1","155","287","116","C0000889"
"26","55005","2","3","2","68","96","326","427","429","544","C0000889"
"27","5818","2","5","7","53","51","335","444","560","373","C0000889"
"28","23534","2","3","2","22","33","323","66","101","136","C0000889"
"29","9343","2","3","2","22","33","323","66","101","136","C0000889"
"30","8653","2","3","12","110","85","237","136","472","127","C0000889"
"31","4089","2","3","12","19","219","339","259","423","605","C0000889"
"32","1814","2","5","4","68","96","326","427","548","672","C0000889"
"33","8481","2","3","12","76","153","40","38","54","75","C0000889"
"34","857","2","5","7","53","45","23","57","83","422","C0000889"
"35","9631","2","3","12","22","33","323","66","101","664","C0000889"
"36","1747","2","3","3","19","221","321","428","541","667","C0000889"
"37","7545","2","5","3","34","52","216","142","220","298","C0000889"
"38","11200","2","3","12","19","31","261","116","1","86","C0000889"
"39","1281","2","5","7","53","51","342","454","573","492","C0000889"
"40","7547","2","3","3","19","221","321","428","541","667","C0000889"
"41","2817","2","5","7","53","51","342","454","573","492","C0001122"
"42","658","2","5","7","53","51","342","259","423","389","C0001122"
"43","3592","2","5","7","53","51","119","25","489","416","C0001122"
"44","658","2","5","7","53","51","342","259","423","389","C0001126"
"45","6473","2","3","3","19","221","321","428","541","667","C0001126"
"46","1280","2","5","7","53","51","342","454","573","492","C0001126"
"47","11128","2","3","2","22","33","261","116","159","211","C0001126"
"48","6010","2","5","4","68","96","326","427","548","672","C0001126"
"49","8504","2","3","5","47","144","185","238","310","392","C0001126"
"50","55151","2","3","2","26","35","85","38","54","75","C0001126"
"51","6945","2","3","12","19","31","110","141","488","102","C0001126"
"52","2896","2","5","7","34","52","216","395","549","674","C0001126"
"53","3984","2","5","7","53","14","20","34","540","68","C0001126"
"54","9409","2","3","5","43","161","305","409","208","482","C0001175"
"55","5310","2","5","7","53","51","335","444","560","373","C0001175"
"56","5076","2","3","3","19","221","321","428","541","667","C0001175"
"57","2160","2","5","7","68","51","119","395","549","674","C0001202"
"58","5376","2","5","7","53","51","342","454","573","492","C0001202"
"59","11128","2","3","2","22","33","261","116","159","211","C0001206"
"60","3481","2","5","7","53","51","342","454","573","492","C0001206"
"61","2245","2","5","7","60","54","24","30","46","72","C0001206"
"62","4313","2","5","7","53","51","342","454","573","492","C0001206"
"63","3106","2","5","7","34","52","119","395","549","674","C0001206"
"64","8322","2","5","3","68","221","184","259","544","669","C0001206"
"65","2074","2","3","12","19","31","1","426","55","78","C0001206"
"66","9907","2","3","5","27","142","335","444","560","214","C0001206"
"67","4647","2","5","7","60","83","101","126","170","224","C0001206"
"68","29920","2","3","2","101","62","189","182","497","617","C0001206"
"69","4987","2","5","4","68","96","326","427","548","672","C0001206"
"70","2773","2","5","4","68","96","326","427","548","672","C0001206"
"71","8076","2","5","7","53","51","342","454","573","492","C0001206"
"72","3630","2","5","7","53","14","20","25","40","186","C0001206"
"73","5443","2","5","4","68","96","326","427","548","672","C0001206"
"74","3265","2","5","7","60","54","24","30","46","72","C0001206"
"75","11152","2","3","2","48","57","110","141","359","462","C0001206"
"76","368","2","3","12","41","116","268","423","536","445","C0001339"
"77","7353","2","3","12","41","219","339","156","568","605","C0001339"
"78","2626","2","3","12","19","31","118","155","287","116","C0001339"
"79","338","2","5","7","53","51","342","454","573","492","C0001403"
"80","4621","2","5","8","63","45","23","103","464","187","C0001403"
"81","411","2","3","7","34","52","216","395","549","674","C0001403"
"82","2109","2","3","2","48","170","50","119","444","556","C0001403"
"83","7466","2","5","7","53","51","342","454","573","492","C0001403"
"84","2743","2","5","8","27","70","99","162","216","290","C0001403"
"85","2157","2","5","7","53","51","342","454","573","702","C0001403"
"86","23426","2","5","7","42","36","71","177","223","219","C0001403"
"87","25836","2","3","12","76","153","40","38","54","75","C0001403"
"88","6329","2","5","8","63","36","166","341","390","158","C0001403"
"89","4535","2","3","2","48","170","50","119","444","556","C0001403"
"90","7454","2","5","7","60","14","20","25","40","215","C0001403"
"91","103","2","3","2","110","184","119","156","287","116","C0001403"
"92","3575","2","5","7","53","51","184","341","544","669","C0001403"
"93","617","2","3","2","48","170","50","304","167","593","C0001403"
"94","4318","2","5","7","34","52","216","395","573","492","C0001403"
"95","595","2","3","12","19","31","1","426","489","416","C0001403"
"96","4618","2","3","12","19","31","276","91","433","118","C0001403"
"97","5080","2","3","3","19","221","321","428","541","667","C0001430"
"98","6323","2","5","8","63","36","166","341","390","158","C0001430"
"99","5395","2","3","12","19","31","261","116","1","86","C0001430"
"100","7051","2","1","6","11","142","225","142","220","298","C0001430"
"101","4539","2","3","2","53","184","86","107","560","195","C0001430"
"102","462","2","5","7","53","51","342","454","573","492","C0001430"
"103","5617","2","5","12","19","31","1","426","55","78","C0001430"
"104","4988","2","5","4","68","96","326","427","548","672","C0001430"
"105","6532","2","5","8","45","94","199","240","415","666","C0001430"
"106","3596","2","5","7","53","51","119","25","489","416","C0001430"
"107","10128","2","3","2","48","170","50","119","444","556","C0001430"
"108","673","2","5","7","53","14","20","34","540","68","C0001430"
"109","337867","2","3","2","48","170","50","119","167","593","C0001430"
"110","5979","2","5","7","53","14","20","25","40","186","C0001430"
"111","5970","2","3","12","19","31","276","91","433","118","C0001430"
"112","6499","2","3","2","110","85","237","433","547","671","C0001430"
"113","4359","2","5","7","53","51","342","454","573","492","C0001430"
"114","5243","2","3","12","41","116","268","423","536","445","C0001430"
"115","6736","2","3","12","19","31","276","91","433","667","C0001430"
"116","348","2","5","7","53","51","342","454","573","492","C0001430"
"117","10060","2","3","8","41","45","23","423","464","445","C0001430"
"118","443","2","3","5","80","81","189","182","509","409","C0001430"
"119","5277","2","3","2","61","77","142","176","235","317","C0001430"
"120","59","2","5","8","63","45","23","103","464","187","C0001430"
"121","6519","2","3","5","45","94","199","240","415","666","C0001430"
"122","4843","2","3","5","43","161","305","409","489","416","C0001430"
"123","6010","2","5","4","68","96","326","427","548","672","C0001430"
"124","5979","2","5","7","53","14","20","25","40","186","C0001430"
"125","4693","2","5","7","53","51","342","454","573","492","C0001430"
"126","51360","2","3","3","26","35","276","91","433","203","C0001430"
"127","1896","2","5","12","41","219","339","156","568","697","C0001430"
"128","6499","2","3","2","110","85","237","433","547","671","C0001430"
"129","355","2","3","7","41","219","339","156","568","697","C0001618"
"130","355","2","3","7","41","219","339","156","568","697","C0001618"
"131","886","2","5","4","68","96","326","427","548","672","C0001618"
"132","355","2","3","7","41","219","339","156","568","697","C0001621"
"133","3476","2","3","12","76","137","76","136","472","435","C0001621"
"134","4921","2","5","7","53","14","20","25","573","186","C0001623"
"135","6662","2","3","3","19","221","321","428","541","667","C0001623"
"136","1062","2","3","12","76","153","40","38","54","75","C0001623"
"137","3209","2","3","3","19","221","321","428","541","667","C0001623"
"138","213","2","5","7","53","51","342","454","573","492","C0001623"
"139","27232","2","3","2","19","31","105","106","14","7","C0001623"
"140","1120","2","3","2","85","143","286","51","488","102","C0001623"
"141","8878","2","3","12","41","219","339","156","568","697","C0001623"
"142","9241","2","5","7","53","51","342","259","423","389","C0001623"
"143","4000","2","3","12","26","105","178","226","297","156","C0001624"
"144","3643","2","5","7","53","14","20","25","40","186","C0001624"
"145","1586","2","3","5","79","98","256","335","425","540","C0001624"
"146","5160","2","3","2","67","92","293","55","75","311","C0001624"
"147","54463","2","3","2","48","57","110","141","359","462","C0001624"
"148","4593","2","5","7","53","14","20","454","573","492","C0001624"
"149","1959","2","3","3","19","151","276","91","433","118","C0001624"
"150","2952","2","3","5","91","175","271","372","471","586","C0001624"
"151","5828","2","3","5","43","161","305","409","208","482","C0001624"
"152","7852","2","5","4","68","96","326","427","548","672","C0001624"
"153","6607","2","3","2","22","33","323","66","101","664","C0001624"
"154","3481","2","5","7","53","51","342","454","573","492","C0001627"
"155","54209","2","5","7","53","51","119","395","549","674","C0001627"
"156","23556","2","3","2","61","77","142","176","235","317","C0001627"
"157","3972","2","5","4","68","96","326","427","548","672","C0001627"
"158","1824","2","1","6","11","142","225","142","220","298","C0001627"
"159","1293","2","5","7","53","51","342","454","573","492","C0001627"
"160","1807","2","3","5","80","23","186","79","560","273","C0001627"
"161","1001","2","5","7","53","51","335","444","560","373","C0001627"
"162","673","2","5","7","53","14","20","34","540","68","C0001627"
"163","2683","2","3","7","34","52","216","395","549","617","C0001627"
