"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"55636","2","3","3","19","221","321","428","423","389","C0000768"
"8050","2","3","2","67","92","293","55","75","311","C0000768"
"2255","2","5","7","53","14","20","25","40","186","C0000768"
"2263","2","5","7","53","14","20","25","40","186","C0000768"
"9871","2","3","7","60","153","40","38","54","203","C0000768"
"4843","2","3","5","43","161","305","409","489","416","C0000768"
"5091","2","3","2","35","40","130","166","57","435","C0000768"
"7299","2","3","5","23","18","138","250","332","407","C0000768"
"25978","2","3","2","48","57","110","141","359","462","C0000768"
"2322","2","5","7","53","14","20","25","40","186","C0000768"
"5573","2","3","12","19","184","118","155","287","116","C0000768"
"2896","2","5","7","34","52","216","395","549","674","C0000832"
"1594","2","3","5","92","163","96","363","460","487","C0000832"
"5290","2","3","7","53","14","20","25","40","186","C0000832"
"51259","2","3","2","76","153","40","38","54","75","C0000887"
"51750","2","3","12","19","31","261","116","1","86","C0000887"
"5745","2","5","4","68","96","326","427","548","672","C0000887"
"4914","2","3","2","22","18","266","202","252","252","C0000887"
"5873","2","5","7","34","54","24","30","46","72","C0000887"
"8200","2","5","7","53","51","342","259","423","389","C0000887"
"23600","2","3","5","80","81","305","409","208","482","C0000889"
"2629","2","3","5","80","81","250","291","152","420","C0000889"
"11285","2","3","2","74","205","191","396","408","620","C0000889"
"4041","2","5","3","68","221","197","259","560","422","C0000889"
"3149","2","3","2","48","57","110","378","370","664","C0000889"
"59","2","5","8","63","45","23","103","464","187","C0000889"
"3892","2","1","6","11","142","225","142","220","298","C0000889"
"25782","2","5","7","60","54","24","30","46","72","C0000889"
"7468","2","3","12","19","31","1","426","55","78","C0000889"
"7290","2","3","12","19","31","1","426","55","78","C0000889"
"2626","2","3","12","19","31","118","155","287","116","C0000889"
"3930","2","3","2","22","33","323","66","3","464","C0000889"
"8022","2","3","3","110","85","321","428","541","667","C0000889"
"3265","2","5","7","60","54","24","30","46","72","C0000889"
"6197","2","3","12","19","14","20","34","540","68","C0000889"
"4000","2","3","12","26","105","178","226","297","156","C0000889"
"3914","2","5","7","53","51","342","454","573","492","C0000889"
"10522","2","3","12","19","221","197","259","236","422","C0000889"
"8220","2","3","2","22","33","323","66","101","136","C0000889"
"10686","2","5","6","42","36","71","177","64","219","C0000889"
"567","2","5","7","34","52","119","395","549","674","C0001122"
"368","2","3","12","41","116","268","423","536","445","C0001122"
"8260","2","3","12","41","85","266","76","287","78","C0001122"
"7421","2","3","3","19","151","276","91","433","118","C0001126"
"64788","2","5","5","11","51","225","142","220","298","C0001126"
"2896","2","5","7","34","52","216","395","549","674","C0001126"
"25978","2","3","2","48","57","110","141","359","462","C0001126"
"6125","2","3","2","110","85","237","433","547","671","C0001126"
"5832","2","3","2","101","62","189","182","509","252","C0001126"
"5573","2","3","12","19","184","118","155","287","116","C0001126"
"4538","2","3","2","48","170","50","119","444","556","C0001126"
"4322","2","5","7","53","51","342","454","573","492","C0001126"
"23426","2","5","7","42","36","71","177","223","219","C0001126"
"5095","2","3","2","48","40","130","166","127","173","C0001175"
"3868","2","1","6","11","142","225","142","220","298","C0001175"
"5159","2","5","7","53","14","20","25","40","186","C0001175"
"4487","2","3","3","19","221","321","428","541","667","C0001202"
"6576","2","3","2","45","94","199","240","569","666","C0001202"
"3105","2","5","7","53","51","119","156","287","116","C0001206"
"3339","2","5","7","53","51","342","454","573","492","C0001206"
"5563","2","3","2","48","57","110","141","359","462","C0001206"
"421","2","5","7","42","51","335","444","560","373","C0001206"
"4609","2","3","12","19","31","1","160","107","416","C0001206"
"25782","2","5","7","60","54","24","30","46","72","C0001206"
"1785","2","5","7","60","14","184","341","544","669","C0001206"
"57526","2","5","7","53","51","335","444","560","373","C0001206"
"9241","2","5","7","53","51","342","259","423","389","C0001206"
"26524","2","3","12","76","153","143","177","54","75","C0001206"
"10555","2","3","7","34","52","216","395","549","622","C0001206"
"6323","2","5","8","63","36","166","341","390","158","C0001206"
"7157","2","3","12","19","31","261","402","489","551","C0001206"
"50484","2","3","5","80","109","182","235","307","506","C0001206"
"29110","2","3","12","41","219","339","156","568","697","C0001206"
"6772","2","3","12","53","184","119","156","287","116","C0001206"
"4524","2","3","2","15","166","104","369","117","583","C0001206"
"4852","2","5","4","68","96","326","427","548","672","C0001339"
"2138","2","3","12","19","31","1","426","55","78","C0001339"
"3026","2","5","7","68","51","119","395","549","674","C0001339"
"7297","2","5","7","53","184","119","25","40","186","C0001403"
"23594","2","3","12","76","153","261","116","1","86","C0001403"
"2301","2","5","6","11","142","225","142","220","673","C0001403"
"1548","2","3","5","91","214","226","326","447","586","C0001403"
"3295","2","3","5","43","161","305","409","208","482","C0001403"
"5648","2","5","7","53","51","119","395","549","674","C0001403"
"1027","2","3","12","19","31","1","116","1","86","C0001403"
"1186","2","5","8","63","45","23","34","464","187","C0001403"
"57057","2","5","7","53","51","342","444","560","373","C0001403"
"29760","2","5","7","53","14","20","25","40","186","C0001403"
"1959","2","3","3","19","151","276","91","433","118","C0001403"
"6605","2","3","12","19","31","1","426","55","78","C0001403"
"3758","2","5","8","63","36","166","106","110","158","C0001403"
"3718","2","5","7","53","14","20","25","40","186","C0001403"
"3952","2","5","3","53","151","276","91","433","118","C0001403"
"5648","2","5","7","53","51","119","395","549","674","C0001403"
"54","2","3","5","80","81","178","195","256","342","C0001403"
"5573","2","3","12","19","184","118","155","287","116","C0001403"
"1586","2","3","5","79","98","256","335","425","540","C0001430"
"10743","2","3","3","19","151","276","91","433","118","C0001430"
"1282","2","5","7","53","51","342","454","573","492","C0001430"
"145226","2","3","2","69","83","101","126","170","224","C0001430"
"3265","2","5","7","60","54","24","30","46","72","C0001430"
"6336","2","5","8","63","36","166","341","390","158","C0001430"
"2074","2","3","12","19","31","1","426","55","78","C0001430"
"11113","2","5","7","53","14","20","34","540","68","C0001430"
"26277","2","3","12","19","31","1","426","1","78","C0001430"
"8517","2","3","12","41","219","339","156","568","697","C0001430"
"23545","2","3","5","29","88","132","85","222","346","C0001430"
"2332","2","3","2","22","33","71","373","466","609","C0001430"
"1278","2","5","7","53","51","342","454","573","492","C0001430"
"3000","2","5","4","68","96","326","427","548","672","C0001430"
"1121","2","5","7","60","54","24","30","46","72","C0001430"
"11251","2","5","4","68","96","326","427","548","672","C0001430"
"6901","2","3","2","48","170","50","304","167","593","C0001430"
"5551","2","5","7","53","51","119","395","549","674","C0001430"
"1947","2","5","7","53","51","20","25","560","373","C0001430"
"1371","2","3","5","17","24","261","116","164","6","C0001430"
"6445","2","5","8","63","45","23","103","464","187","C0001430"
"23742","2","5","5","68","96","326","427","447","586","C0001430"
"1302","2","5","7","53","51","342","454","573","492","C0001430"
"6340","2","5","8","63","45","23","34","464","187","C0001430"
"1261","2","5","8","63","36","166","106","110","158","C0001430"
"4128","2","3","5","80","81","119","402","489","416","C0001430"
