"gene","0","0.5","1","1.5","2","2.5","3","3.5","4","disease"
"1","4654","2","3","12","19","31","276","91","433","118","C0000768"
"2","4920","2","5","7","53","14","20","259","560","373","C0000768"
"3","1406","2","3","3","19","221","321","428","541","667","C0000768"
"4","10618","2","5","7","60","51","184","341","544","669","C0000768"
"5","1134","2","5","8","27","70","99","162","216","290","C0000768"
"6","7490","2","3","3","19","221","321","428","541","667","C0000768"
"7","2720","2","3","7","34","52","216","395","21","599","C0000768"
"8","3115","2","5","7","53","184","119","156","287","116","C0000768"
"9","9896","2","3","5","80","81","296","399","201","274","C0000768"
"10","7077","2","5","7","34","52","216","395","549","674","C0000768"
"11","2006","2","5","7","53","51","342","454","573","492","C0000768"
"12","6391","2","3","2","48","170","50","119","444","556","C0000832"
"13","249","2","3","5","27","51","335","444","560","373","C0000832"
"14","930","2","5","7","53","14","119","25","40","186","C0000832"
"15","2629","2","3","5","80","81","250","291","152","420","C0000887"
"16","7045","2","5","12","19","51","1","426","55","78","C0000887"
"17","5125","2","5","6","11","51","225","142","220","298","C0000887"
"18","4853","2","3","12","19","124","143","428","236","667","C0000887"
"19","175","2","3","7","34","52","216","395","549","674","C0000887"
"20","3930","2","3","2","22","33","323","66","3","464","C0000887"
"21","7518","2","3","12","19","31","261","116","1","86","C0000889"
"22","54880","2","3","12","19","31","1","426","55","78","C0000889"
"23","26229","2","3","2","74","205","191","396","408","257","C0000889"
"24","861","2","3","12","19","31","1","426","55","78","C0000889"
"25","7403","2","3","12","19","31","1","426","55","78","C0000889"
"26","3549","2","5","3","53","51","197","259","560","422","C0000889"
"27","3891","2","1","6","11","142","225","142","220","298","C0000889"
"28","7428","2","3","12","41","116","268","434","468","213","C0000889"
"29","1816","2","5","4","68","96","326","427","548","672","C0000889"
"30","894","2","3","12","19","31","1","34","540","68","C0000889"
"31","6532","2","5","8","45","94","199","240","415","666","C0000889"
"32","2517","2","3","7","34","52","216","395","549","674","C0000889"
"33","2131","2","3","2","74","58","112","148","181","416","C0000889"
"34","4313","2","5","7","53","51","342","454","573","492","C0000889"
"35","5745","2","5","4","68","96","326","427","548","672","C0000889"
"36","1586","2","3","5","79","98","256","335","425","540","C0000889"
"37","7528","2","3","12","19","31","1","426","55","78","C0000889"
"38","3066","2","3","12","19","31","1","426","55","78","C0000889"
"39","2657","2","5","7","53","51","342","259","423","389","C0000889"
"40","8481","2","3","12","76","153","40","38","54","75","C0000889"
"41","5831","2","3","2","101","62","189","182","566","409","C0001122"
"42","3075","2","5","7","53","51","119","395","549","674","C0001122"
"43","335","2","5","7","53","51","342","454","573","492","C0001122"
"44","4221","2","3","12","19","31","342","454","573","492","C0001126"
"45","54101","2","3","2","48","170","50","347","167","593","C0001126"
"46","842","2","3","12","41","219","339","156","568","697","C0001126"
"47","55504","2","3","12","41","219","339","156","568","697","C0001126"
"48","7428","2","3","12","41","116","268","434","468","213","C0001126"
"49","1268","2","5","4","68","96","326","427","548","672","C0001126"
"50","5771","2","5","7","53","14","296","25","40","186","C0001126"
"51","4487","2","3","3","19","221","321","428","541","667","C0001126"
"52","5308","2","3","3","19","221","321","428","541","667","C0001126"
"53","595","2","3","12","19","31","1","426","489","416","C0001126"
"54","7054","2","3","5","80","81","166","34","258","345","C0001175"
"55","23451","2","3","2","22","33","323","66","101","136","C0001175"
"56","6323","2","5","8","63","36","166","341","390","158","C0001175"
"57","2072","2","3","12","19","31","261","116","1","86","C0001202"
"58","7486","2","3","12","19","31","261","116","1","86","C0001202"
"59","3953","2","5","7","53","14","20","25","40","186","C0001206"
"60","5625","2","3","2","101","103","177","225","271","356","C0001206"
"61","3592","2","5","7","53","51","119","25","489","416","C0001206"
"62","7015","2","3","12","19","31","1","426","55","78","C0001206"
"63","55650","2","3","2","61","77","142","176","235","557","C0001206"
"64","51062","2","5","7","27","36","150","402","489","373","C0001206"
"65","135","2","5","4","68","96","326","427","548","672","C0001206"
"66","5144","2","3","4","68","96","326","427","548","672","C0001206"
"67","1581","2","3","5","19","151","276","91","433","118","C0001206"
"68","54567","2","5","7","53","51","143","428","236","667","C0001206"
"69","627","2","5","7","53","51","335","444","423","373","C0001206"
"70","25974","2","3","7","48","51","105","139","186","245","C0001206"
"71","4615","2","3","12","41","219","339","156","568","697","C0001206"
"72","2778","2","5","4","68","96","326","427","548","672","C0001206"
"73","9968","2","4","3","24","119","330","214","454","144","C0001206"
"74","3630","2","5","7","53","14","20","25","40","186","C0001206"
"75","6473","2","3","3","19","221","321","428","541","667","C0001206"
"76","196","2","3","3","19","151","276","91","433","118","C0001339"
"77","6785","2","3","5","67","7","5","239","311","393","C0001339"
"78","26137","2","5","7","63","45","184","103","572","658","C0001339"
"79","23322","2","3","12","76","153","40","38","54","75","C0001403"
"80","1908","2","5","4","68","96","326","427","548","672","C0001403"
"81","7546","2","5","3","19","221","321","79","560","373","C0001403"
"82","9759","2","3","12","19","31","276","91","433","118","C0001403"
"83","2261","2","5","7","53","14","20","25","40","186","C0001403"
"84","6664","2","3","3","19","221","321","428","541","667","C0001403"
"85","1301","2","5","7","53","51","342","454","573","492","C0001403"
"86","6303","2","3","2","67","118","160","261","188","423","C0001403"
"87","27247","2","3","2","48","170","50","119","100","556","C0001403"
"88","2332","2","3","2","22","33","71","373","466","609","C0001403"
"89","26580","2","5","8","27","70","99","162","216","290","C0001403"
"90","5395","2","3","12","19","31","261","116","1","86","C0001403"
"91","26154","2","3","5","47","144","185","238","310","392","C0001403"
"92","686","2","3","5","80","81","166","166","127","173","C0001403"
"93","5327","2","5","7","53","51","342","454","573","492","C0001403"
"94","3930","2","3","2","22","33","323","66","3","464","C0001403"
"95","4286","2","3","12","19","31","261","116","1","664","C0001403"
"96","8600","2","5","7","41","219","339","156","568","697","C0001403"
"97","5195","2","3","5","43","161","305","409","208","482","C0001430"
"98","2767","2","5","4","68","96","326","427","548","672","C0001430"
"99","2316","2","5","7","53","51","342","454","573","702","C0001430"
"100","2218","2","5","2","53","123","194","255","560","373","C0001430"
"101","3418","2","3","2","67","151","276","33","48","155","C0001430"
"102","2767","2","5","4","68","96","326","427","548","672","C0001430"
"103","3265","2","5","7","60","54","24","30","46","72","C0001430"
"104","7227","2","3","12","19","31","276","91","433","118","C0001430"
"105","3117","2","5","7","53","153","119","156","287","116","C0001430"
"106","8600","2","5","7","41","219","339","156","568","697","C0001430"
"107","9496","2","5","6","11","142","225","142","220","673","C0001430"
"108","24","2","3","12","41","116","268","423","536","445","C0001430"
"109","78989","2","5","7","53","51","119","395","573","674","C0001430"
"110","55294","2","3","12","41","116","268","434","468","213","C0001430"
"111","2670","2","5","7","27","36","150","341","223","628","C0001430"
"112","6390","2","3","2","48","170","50","119","444","556","C0001430"
"113","1294","2","5","7","53","51","342","454","573","492","C0001430"
"114","11128","2","3","2","22","33","261","116","159","211","C0001430"
"115","26608","2","3","2","22","170","50","119","463","153","C0001430"
"116","7040","2","5","7","53","51","342","454","573","492","C0001430"
"117","6938","2","3","12","19","31","1","426","55","78","C0001430"
"118","8910","2","5","8","63","45","23","103","464","187","C0001430"
"119","3239","2","3","3","19","221","321","428","541","667","C0001430"
"120","773","2","5","8","27","36","166","341","223","628","C0001430"
"121","51259","2","3","2","76","153","40","38","54","75","C0001430"
"122","9342","2","5","7","34","52","216","395","549","674","C0001430"
"123","5932","2","3","12","19","31","261","116","1","86","C0001430"
"124","8260","2","3","12","41","85","266","76","287","78","C0001430"
"125","5921","2","5","7","60","14","24","25","40","215","C0001430"
"126","3458","2","5","7","53","184","119","156","287","116","C0001430"
"127","1834","2","5","7","53","51","342","454","573","492","C0001430"
"128","1291","2","5","7","53","51","342","454","573","492","C0001430"
"129","2187","2","3","12","19","31","261","116","1","86","C0001618"
"130","7157","2","3","12","19","31","261","402","489","551","C0001618"
"131","4537","2","3","2","48","170","50","119","444","556","C0001618"
"132","7401","2","5","7","60","83","101","126","170","224","C0001621"
"133","5830","2","3","5","43","161","305","409","208","482","C0001621"
"134","5743","2","3","5","53","175","119","167","489","416","C0001623"
"135","5604","2","5","7","53","14","20","34","540","68","C0001623"
"136","3784","2","5","8","63","36","166","106","110","158","C0001623"
"137","2632","2","3","2","28","22","48","232","82","114","C0001623"
"138","51426","2","3","12","19","31","261","116","1","86","C0001623"
"139","667","2","5","7","53","51","342","454","573","492","C0001623"
"140","4297","2","3","12","19","31","1","426","55","78","C0001623"
"141","1861","2","5","7","60","14","184","341","544","669","C0001623"
"142","7399","2","5","7","53","51","342","454","573","492","C0001623"
"143","6303","2","3","2","67","118","160","261","188","423","C0001624"
"144","2778","2","5","4","68","96","326","427","548","672","C0001624"
"145","7054","2","3","5","80","81","166","34","258","345","C0001624"
"146","55005","2","3","2","68","96","326","427","429","544","C0001624"
"147","1299","2","5","7","53","51","342","454","573","492","C0001624"
"148","3383","2","5","7","53","51","119","454","287","116","C0001624"
"149","9370","2","5","3","41","151","276","91","433","118","C0001624"
"150","2627","2","3","12","19","31","118","155","287","116","C0001624"
"151","26580","2","5","8","27","70","99","162","216","290","C0001624"
"152","1277","2","5","7","53","51","342","454","573","492","C0001624"
"153","4261","2","3","12","53","184","119","156","287","116","C0001624"
"154","50717","2","3","12","41","116","268","434","468","213","C0001627"
"155","2512","2","3","7","34","52","216","395","544","358","C0001627"
"156","4519","2","3","2","48","170","50","119","508","312","C0001627"
"157","84560","2","5","6","27","184","261","116","287","116","C0001627"
"158","4535","2","3","2","48","170","50","119","444","556","C0001627"
"159","5745","2","5","4","68","96","326","427","548","672","C0001627"
"160","1896","2","5","12","41","219","339","156","568","697","C0001627"
"161","1954","2","5","7","53","51","342","454","573","492","C0001627"
"162","7033","2","3","12","19","31","1","426","55","78","C0001627"
"163","4221","2","3","12","19","31","342","454","573","492","C0001627"
"164","1297","2","5","7","53","51","342","454","573","492","C0001627"
"165","23556","2","3","2","61","77","142","176","235","317","C0001723"
"166","1589","2","3","5","79","186","215","297","379","491","C0001723"
"167","6913","2","3","3","19","221","321","428","541","667","C0001723"
"168","51473","2","5","7","60","36","20","25","64","215","C0001723"
"169","54209","2","5","7","53","51","119","395","549","674","C0001723"
"170","6239","2","3","12","19","119","330","214","454","144","C0001723"
"171","1959","2","3","3","19","151","276","91","433","118","C0001733"
"172","3786","2","5","8","63","36","166","106","110","158","C0001733"
"173","29954","2","5","2","27","206","324","430","215","290","C0001733"
"174","8799","2","3","5","43","161","305","409","208","482","C0001768"
"175","8050","2","3","2","67","92","293","55","75","311","C0001768"
"176","3162","2","3","5","53","51","119","402","489","416","C0001768"
"177","7048","2","5","7","53","51","342","259","423","389","C0001768"
"178","3778","2","5","8","63","36","166","106","110","158","C0001768"
"179","10815","2","5","7","60","36","71","341","223","666","C0001768"
"180","6736","2","3","12","19","31","276","91","433","667","C0001768"
"181","540","2","5","8","63","45","23","103","464","187","C0001768"
"182","1786","2","3","12","19","31","1","426","55","78","C0001768"
"183","1436","2","5","7","53","14","20","25","40","186","C0001768"
"184","2812","2","5","7","53","51","342","454","573","492","C0001768"
"185","836","2","3","12","41","219","339","402","489","697","C0001768"
"186","775","2","5","8","63","36","166","341","223","158","C0001768"
"187","11141","2","5","7","53","36","335","444","223","373","C0001768"
"188","7518","2","3","12","19","31","261","116","1","86","C0001768"
"189","50939","2","3","12","76","153","40","38","472","435","C0001768"
"190","5604","2","5","7","53","14","20","34","540","68","C0001815"
"191","1146","2","5","8","27","70","99","162","216","290","C0001815"
"192","153090","2","5","7","60","54","24","30","46","72","C0001816"
"193","5077","2","3","3","19","221","321","428","541","667","C0001816"
"194","1161","2","3","12","41","116","268","434","468","213","C0001816"
"195","2737","2","3","12","19","116","321","428","54","667","C0001818"
"196","213","2","5","7","53","51","342","454","573","492","C0001818"
"197","5076","2","3","3","19","221","321","428","541","667","C0001818"
"198","51308","2","2","1","9","15","21","28","42","62","C0001818"
"199","950","2","5","7","60","14","184","341","544","669","C0001824"
"200","1855","2","5","12","76","153","197","259","560","422","C0001824"
"201","1387","2","3","12","19","31","276","91","433","118","C0001824"
"202","5728","2","3","5","80","81","339","156","568","605","C0001824"
"203","147409","2","1","6","11","142","225","142","220","298","C0001883"
"204","2334","2","5","7","53","14","20","25","40","186","C0001883"
"205","8626","2","3","3","19","221","321","428","541","667","C0001883"
"206","4524","2","3","2","15","166","104","369","117","583","C0001916"
"207","8942","2","3","5","52","212","183","307","391","507","C0001916"
"208","8890","2","3","2","110","85","237","433","547","671","C0001916"
"209","6928","2","3","3","19","221","321","428","541","667","C0001916"
"210","3691","2","5","7","53","51","342","454","573","492","C0001916"
"211","7351","2","3","2","20","29","98","123","166","221","C0001916"
"212","2178","2","3","12","19","31","261","116","1","86","C0001916"
"213","6911","2","5","6","19","142","335","259","560","373","C0001916"
"214","1103","2","3","2","67","92","293","55","75","311","C0001916"
"215","5096","2","3","2","48","40","130","166","127","173","C0001916"
"216","26585","2","5","7","53","51","342","259","423","389","C0001916"
"217","55703","2","3","2","22","33","261","116","159","211","C0001925"
"218","6911","2","5","6","19","142","335","259","560","373","C0001925"
"219","9790","2","3","2","110","85","237","433","547","671","C0001925"
"220","7468","2","3","12","19","31","1","426","55","78","C0001925"
"221","2982","2","3","4","68","96","326","427","548","672","C0001925"
"222","7490","2","3","3","19","221","321","428","541","667","C0001925"
"223","29108","2","5","7","34","52","216","395","549","674","C0001925"
"224","9451","2","3","2","110","51","335","226","297","380","C0001925"
"225","3835","2","3","12","76","153","40","38","54","75","C0001925"
"226","2255","2","5","7","53","14","20","25","40","186","C0001925"
"227","29123","2","3","12","19","151","276","91","433","118","C0001925"
"228","1441","2","5","7","53","51","119","25","40","186","C0001925"
"229","4893","2","5","7","34","52","24","30","46","72","C0001925"
"230","51128","2","5","7","60","153","24","38","46","72","C0001925"
"231","1297","2","5","7","53","51","342","454","573","492","C0001925"
"232","8820","2","3","3","19","221","321","428","541","667","C0001925"
"233","5313","2","3","2","90","167","321","428","541","115","C0001925"
"234","5277","2","3","2","61","77","142","176","235","317","C0001925"
"235","10585","2","5","2","27","206","324","430","215","290","C0001925"
"236","2263","2","5","7","53","14","20","25","40","186","C0001925"
"237","9990","2","5","8","45","94","199","240","415","666","C0001925"
"238","7035","2","5","7","68","51","119","395","549","674","C0001956"
"239","2879","2","3","5","80","81","166","378","173","229","C0001956"
"240","7436","2","5","7","53","51","342","341","544","669","C0001956"
"241","4000","2","3","12","26","105","178","226","297","156","C0001956"
"242","4256","2","5","7","53","51","342","454","573","492","C0001956"
"243","6197","2","3","12","19","14","20","34","540","68","C0001956"
"244","51091","2","3","2","110","85","237","433","547","671","C0001956"
"245","8438","2","3","12","76","153","261","116","1","86","C0001956"
"246","22930","2","5","7","60","54","24","30","46","72","C0001956"
"247","23250","2","3","7","34","52","216","395","549","559","C0001956"
"248","7518","2","3","12","19","31","261","116","1","86","C0001956"
"249","2055","2","3","2","27","36","150","402","223","628","C0001956"
"250","22802","2","5","8","63","45","23","34","464","187","C0001957"
"251","6657","2","3","12","19","221","321","428","541","667","C0001957"
"252","10686","2","5","6","42","36","71","177","64","219","C0002018"
"253","1420","2","3","6","63","45","160","362","177","673","C0002018"
"254","8878","2","3","12","41","219","339","156","568","697","C0002018"
"255","4860","2","3","7","34","52","216","395","549","150","C0002018"
"256","2719","2","5","7","53","51","342","454","573","492","C0002018"
"257","30008","2","5","7","53","51","342","454","573","492","C0002018"
"258","27086","2","3","12","19","221","321","428","541","667","C0002063"
"259","55651","2","3","2","110","85","237","433","547","671","C0002063"
"260","3815","2","5","7","53","14","20","25","40","186","C0002064"
