"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"3048","2","3","12","19","31","118","155","287","116","C0000768"
"9896","2","3","5","80","81","296","399","201","274","C0000768"
"1475","2","1","6","11","142","225","142","220","298","C0000768"
"2215","2","5","7","34","52","216","395","549","674","C0000768"
"6519","2","3","5","45","94","199","240","415","666","C0000768"
"55654","2","3","2","22","33","323","66","198","270","C0000768"
"4210","2","3","12","41","219","339","156","568","697","C0000768"
"50846","2","3","3","68","221","197","259","560","422","C0000768"
"5860","2","3","2","69","91","75","204","267","352","C0000768"
"3954","2","3","2","48","170","67","119","444","593","C0000768"
"26227","2","3","2","41","137","44","208","81","108","C0000768"
"50939","2","3","12","76","153","40","38","472","435","C0000832"
"4222","2","3","3","19","221","321","428","541","667","C0000832"
"1301","2","5","7","53","51","342","454","573","492","C0000832"
"6569","2","3","8","45","94","199","240","415","666","C0000887"
"50846","2","3","3","68","221","197","259","560","422","C0000887"
"54567","2","5","7","53","51","143","428","236","667","C0000887"
"567","2","5","7","34","52","119","395","549","674","C0000887"
"1436","2","5","7","53","14","20","25","40","186","C0000887"
"4763","2","5","7","60","54","24","30","46","214","C0000887"
"5076","2","3","3","19","221","321","428","541","667","C0000889"
"3880","2","1","6","11","142","225","142","220","298","C0000889"
"3026","2","5","7","68","51","119","395","549","674","C0000889"
"94","2","5","7","53","51","342","259","423","389","C0000889"
"7415","2","3","7","34","52","216","395","536","445","C0000889"
"10518","2","3","2","22","170","50","119","444","556","C0000889"
"1415","2","3","6","63","45","160","362","177","673","C0000889"
"65062","2","3","2","48","170","50","119","444","556","C0000889"
"545","2","3","12","19","31","261","116","1","86","C0000889"
"80025","2","3","2","72","73","201","129","384","499","C0000889"
"4547","2","5","7","53","51","342","454","573","492","C0000889"
"4988","2","5","4","68","96","326","427","548","672","C0000889"
"5626","2","3","3","19","221","321","428","541","667","C0000889"
"2263","2","5","7","53","14","20","25","40","186","C0000889"
"55630","2","3","5","27","81","99","162","216","290","C0000889"
"3048","2","3","12","19","31","118","155","287","116","C0000889"
"1583","2","3","5","79","152","273","375","100","589","C0000889"
"6567","2","5","8","35","41","77","40","57","80","C0000889"
"7473","2","5","3","68","221","197","259","560","422","C0000889"
"5896","2","3","12","41","116","268","434","568","605","C0000889"
"8626","2","3","3","19","221","321","428","541","667","C0001122"
"2316","2","5","7","53","51","342","454","573","702","C0001122"
"4771","2","5","7","60","36","71","177","64","215","C0001122"
"5468","2","3","3","19","151","276","91","433","118","C0001126"
"84790","2","3","12","76","153","40","38","54","75","C0001126"
"2316","2","5","7","53","51","342","454","573","702","C0001126"
"29760","2","5","7","53","14","20","25","40","186","C0001126"
"1374","2","3","2","19","151","276","91","433","118","C0001126"
"5189","2","3","5","43","161","305","409","208","482","C0001126"
"153572","2","3","3","19","221","321","428","541","667","C0001126"
"5327","2","5","7","53","51","342","454","573","492","C0001126"
"8892","2","3","2","110","85","237","433","547","671","C0001126"
"8106","2","3","2","22","33","323","66","101","136","C0001126"
"2643","2","3","5","87","91","75","204","267","352","C0001175"
