"gene","0","0.5","1","1.5","2","2.5","3","3.5","4","disease"
"1","3242","2","3","5","67","92","293","55","308","390","C0000768"
"2","7015","2","3","12","19","31","1","426","55","78","C0000768"
"3","857","2","5","7","53","45","23","57","83","422","C0000768"
"4","1476","2","5","7","34","52","216","395","549","674","C0000768"
"5","5624","2","5","7","53","51","342","454","573","492","C0000768"
"6","5727","2","3","12","68","221","197","259","560","422","C0000768"
"7","51025","2","3","2","48","170","50","304","167","593","C0000768"
"8","26119","2","5","7","60","14","184","341","544","669","C0000768"
"9","2099","2","3","12","19","151","276","91","433","118","C0000768"
"10","7132","2","3","12","41","219","339","156","568","697","C0000768"
"11","701","2","3","12","76","153","40","38","54","75","C0000768"
"12","2261","2","5","7","53","14","20","25","40","186","C0000832"
"13","3674","2","5","7","53","51","342","454","573","492","C0000832"
"14","5897","2","3","12","41","116","268","141","568","605","C0000832"
"15","207","2","3","7","53","14","20","34","489","416","C0000887"
"16","50616","2","5","7","53","51","119","25","40","186","C0000887"
"17","3350","2","5","4","68","96","326","427","548","672","C0000887"
"18","3717","2","5","7","53","14","20","25","40","186","C0000887"
"19","3265","2","5","7","60","54","24","30","46","72","C0000887"
"20","55605","2","3","12","76","153","40","38","54","75","C0000887"
"21","2261","2","5","7","53","14","20","25","40","186","C0000889"
"22","1281","2","5","7","53","51","342","454","573","492","C0000889"
"23","5831","2","3","2","101","62","189","182","566","409","C0000889"
"24","6697","2","3","2","69","91","75","204","267","352","C0000889"
"25","1832","2","5","7","34","52","225","142","220","298","C0000889"
"26","7170","2","5","8","63","45","23","103","464","187","C0000889"
"27","4166","2","3","2","89","60","99","7","211","217","C0000889"
"28","9049","2","3","3","41","151","276","378","271","356","C0000889"
"29","2767","2","5","4","68","96","326","427","548","672","C0000889"
"30","668","2","3","12","19","221","321","428","541","664","C0000889"
"31","7225","2","5","8","63","45","193","306","390","158","C0000889"
"32","4705","2","3","2","48","170","50","119","444","556","C0000889"
"33","1284","2","5","7","53","51","342","454","573","492","C0000889"
"34","836","2","3","12","41","219","339","402","489","697","C0000889"
"35","1302","2","5","7","53","51","342","454","573","492","C0000889"
"36","54968","2","3","2","48","170","50","119","444","556","C0000889"
"37","356","2","5","7","53","219","339","25","489","697","C0000889"
"38","90","2","5","7","53","51","342","259","423","389","C0000889"
"39","2916","2","5","4","68","96","326","427","548","672","C0000889"
"40","23426","2","5","7","42","36","71","177","223","219","C0000889"
"41","5979","2","5","7","53","14","20","25","40","186","C0001122"
"42","9241","2","5","7","53","51","342","259","423","389","C0001122"
"43","2022","2","5","7","53","51","342","259","423","389","C0001122"
"44","7140","2","5","8","63","45","23","103","464","187","C0001126"
"45","5447","2","3","5","91","214","271","372","471","586","C0001126"
"46","10743","2","3","3","19","151","276","91","433","118","C0001126"
"47","778","2","5","8","63","36","166","341","223","158","C0001126"
"48","1728","2","3","2","41","116","268","434","568","605","C0001126"
"49","10262","2","3","2","22","33","323","66","101","136","C0001126"
"50","7476","2","5","3","68","221","197","259","560","422","C0001126"
"51","26137","2","5","7","63","45","184","103","572","658","C0001126"
"52","5460","2","3","3","19","221","321","428","541","667","C0001126"
"53","973","2","5","7","53","14","20","25","40","186","C0001126"
"54","2218","2","5","2","53","123","194","255","560","373","C0001175"
"55","1956","2","5","7","53","14","184","45","544","669","C0001175"
"56","23461","2","3","5","47","144","185","238","310","392","C0001175"
"57","2255","2","5","7","53","14","20","25","40","186","C0001202"
"58","3756","2","5","8","63","36","166","106","110","158","C0001202"
"59","25782","2","5","7","60","54","24","30","46","72","C0001206"
"60","51422","2","3","2","48","57","110","141","359","462","C0001206"
"61","5447","2","3","5","91","214","271","372","471","586","C0001206"
"62","2317","2","5","7","63","45","23","103","287","664","C0001206"
"63","6529","2","5","8","45","94","199","240","415","666","C0001206"
"64","3425","2","3","5","80","81","166","454","573","492","C0001206"
"65","1062","2","3","12","76","153","40","38","54","75","C0001206"
"66","54551","2","3","12","41","219","197","156","568","422","C0001206"
"67","2132","2","3","2","74","58","112","148","193","263","C0001206"
"68","9723","2","5","7","53","51","342","79","560","373","C0001206"
"69","3423","2","3","5","74","3","342","374","294","590","C0001206"
"70","6555","2","5","8","45","94","199","240","415","666","C0001206"
"71","324","2","3","12","41","219","197","70","255","422","C0001206"
"72","9791","2","3","8","45","94","199","240","415","666","C0001206"
"73","7421","2","3","3","19","151","276","91","433","118","C0001206"
"74","23495","2","3","12","41","219","339","156","568","697","C0001206"
"75","4351","2","3","2","90","167","266","367","500","577","C0001206"
"76","29123","2","3","12","19","151","276","91","433","118","C0001339"
"77","55209","2","3","12","11","142","225","142","220","298","C0001339"
"78","1184","2","5","8","63","45","23","34","464","187","C0001339"
"79","51259","2","3","2","76","153","40","38","54","75","C0001403"
"80","5328","2","5","7","34","52","216","395","549","674","C0001403"
"81","7048","2","5","7","53","51","342","259","423","389","C0001403"
"82","23742","2","5","5","68","96","326","427","447","586","C0001403"
"83","3094","2","3","2","48","170","266","367","500","78","C0001403"
"84","5321","2","3","5","116","183","295","398","243","327","C0001403"
"85","2317","2","5","7","63","45","23","103","287","664","C0001403"
"86","1292","2","5","7","53","51","342","454","573","492","C0001403"
"87","5573","2","3","12","19","184","118","155","287","116","C0001403"
"88","59","2","5","8","63","45","23","103","464","187","C0001403"
"89","10806","2","3","12","76","153","40","38","54","75","C0001403"
"90","8891","2","3","2","110","85","237","433","547","671","C0001403"
"91","2321","2","5","7","53","14","20","25","40","186","C0001403"
"92","7124","2","3","12","41","219","339","156","568","697","C0001403"
"93","844","2","5","8","63","45","23","34","464","187","C0001403"
"94","26128","2","3","12","76","153","40","38","54","154","C0001403"
"95","7036","2","3","5","29","88","132","85","222","346","C0001403"
"96","2260","2","5","7","53","14","20","25","40","186","C0001403"
"97","8842","2","5","5","53","82","147","184","179","328","C0001430"
"98","4041","2","5","3","68","221","197","259","560","422","C0001430"
"99","3663","2","3","12","53","184","119","156","287","116","C0001430"
"100","4204","2","3","12","19","31","1","426","55","78","C0001430"
"101","6622","2","3","7","27","36","150","341","223","628","C0001430"
"102","974","2","5","7","53","51","119","395","549","674","C0001430"
"103","4436","2","3","12","19","31","261","116","1","86","C0001430"
"104","865","2","3","12","19","31","1","426","55","78","C0001430"
"105","4000","2","3","12","26","105","178","226","297","156","C0001430"
"106","3845","2","5","7","60","54","24","30","46","72","C0001430"
"107","7227","2","3","12","19","31","276","91","433","118","C0001430"
"108","6309","2","3","5","19","151","76","48","69","204","C0001430"
"109","7469","2","3","12","19","31","261","116","159","211","C0001430"
"110","7546","2","5","3","19","221","321","79","560","373","C0001430"
"111","5727","2","3","12","68","221","197","259","560","422","C0001430"
"112","8890","2","3","2","110","85","237","433","547","671","C0001430"
"113","7490","2","3","3","19","221","321","428","541","667","C0001430"
"114","9187","2","5","8","45","94","199","240","415","666","C0001430"
