"gene","0","0.5","1","1.5","2","2.5","3","3.5","4","disease"
"1","4049","2","3","12","41","219","339","156","568","697","C0000768"
"2","1615","2","3","2","110","85","237","433","547","154","C0000768"
"3","8929","2","3","3","19","221","321","428","541","667","C0000768"
"4","7337","2","3","12","41","116","268","434","468","213","C0000768"
"5","5192","2","3","5","43","161","305","409","208","482","C0000768"
"6","9451","2","3","2","110","51","335","226","297","380","C0000768"
"7","285","2","5","7","53","51","342","454","573","492","C0000768"
"8","10682","2","5","4","68","96","326","48","69","204","C0000768"
"9","8820","2","3","3","19","221","321","428","541","667","C0000768"
"10","25978","2","3","2","48","57","110","141","359","462","C0000768"
"11","1513","2","5","7","53","51","342","454","573","492","C0000768"
"12","659","2","5","7","53","14","20","259","423","389","C0000832"
"13","5000","2","3","12","76","31","261","116","1","86","C0000832"
"14","6017","2","3","2","69","83","101","126","170","224","C0000832"
"15","1186","2","5","8","63","45","23","34","464","187","C0000887"
"16","1280","2","5","7","53","51","342","454","573","492","C0000887"
"17","26229","2","3","2","74","205","191","396","408","257","C0000887"
"18","2978","2","3","5","80","81","272","223","518","621","C0000887"
"19","4882","2","3","4","68","96","326","427","548","672","C0000887"
"20","5176","2","5","7","53","51","342","454","573","492","C0000887"
"21","51702","2","3","12","19","31","1","426","55","78","C0000889"
"22","2316","2","5","7","53","51","342","454","573","702","C0000889"
"23","2944","2","3","5","91","175","271","372","471","586","C0000889"
"24","8792","2","3","12","41","219","339","156","568","697","C0000889"
"25","2623","2","3","12","19","31","1","155","287","116","C0000889"
"26","4141","2","3","2","110","85","237","433","547","154","C0000889"
"27","673","2","5","7","53","14","20","34","540","68","C0000889"
"28","6662","2","3","3","19","221","321","428","541","667","C0000889"
"29","151648","2","3","12","76","153","40","38","54","75","C0000889"
"30","4313","2","5","7","53","51","342","454","573","492","C0000889"
"31","4088","2","3","12","19","219","339","259","423","605","C0000889"
"32","4313","2","5","7","53","51","342","454","573","492","C0000889"
"33","7879","2","5","7","34","54","24","30","46","72","C0000889"
"34","7157","2","3","12","19","31","261","402","489","551","C0000889"
"35","10320","2","5","7","19","119","143","214","236","389","C0000889"
"36","8815","2","3","12","22","33","323","66","444","664","C0000889"
"37","2033","2","3","12","19","31","1","91","433","118","C0000889"
"38","1991","2","5","7","34","52","216","395","549","674","C0000889"
"39","27031","2","3","6","11","142","225","38","331","506","C0000889"
"40","673","2","5","7","53","14","20","34","540","68","C0000889"
"41","1311","2","5","7","53","51","342","454","573","492","C0001122"
"42","6390","2","3","2","48","170","50","119","444","556","C0001122"
"43","2969","2","3","12","19","31","276","91","433","118","C0001122"
"44","3832","2","3","12","76","153","40","38","54","75","C0001126"
"45","8910","2","5","8","63","45","23","103","464","187","C0001126"
"46","8573","2","5","7","53","36","71","341","223","219","C0001126"
"47","79633","2","3","7","80","51","335","444","560","373","C0001126"
"48","1261","2","5","8","63","36","166","106","110","158","C0001126"
"49","1408","2","3","3","19","151","276","91","433","118","C0001126"
"50","4148","2","5","7","53","51","342","454","573","492","C0001126"
"51","5961","2","5","7","27","51","326","126","414","702","C0001126"
"52","54808","2","3","12","76","153","40","38","54","75","C0001126"
"53","1277","2","5","7","53","51","342","454","573","492","C0001126"
"54","5447","2","3","5","91","214","271","372","471","586","C0001175"
"55","5727","2","3","12","68","221","197","259","560","422","C0001175"
"56","51360","2","3","3","26","35","276","91","433","203","C0001175"
"57","8139","2","3","12","41","116","268","434","468","213","C0001202"
"58","7018","2","5","7","53","51","342","454","573","669","C0001202"
"59","10329","2","3","2","63","123","194","423","536","544","C0001206"
"60","28952","2","3","12","41","116","268","434","468","213","C0001206"
"61","9150","2","3","12","19","31","261","116","159","211","C0001206"
"62","23594","2","3","12","76","153","261","116","1","86","C0001206"
"63","440","2","3","2","101","62","189","182","509","154","C0001206"
"64","5896","2","3","12","41","116","268","434","568","605","C0001206"
"65","5313","2","3","2","90","167","321","428","541","115","C0001206"
"66","1639","2","3","12","76","153","40","38","54","75","C0001206"
"67","2068","2","3","12","19","31","261","116","159","211","C0001206"
"68","4853","2","3","12","19","124","143","428","236","667","C0001206"
"69","5830","2","3","5","43","161","305","409","208","482","C0001206"
"70","29893","2","3","12","19","31","1","426","55","78","C0001206"
"71","506","2","3","2","48","170","50","119","167","593","C0001206"
"72","2006","2","5","7","53","51","342","454","573","492","C0001206"
"73","2581","2","3","5","80","81","250","291","152","420","C0001206"
"74","55714","2","5","7","53","51","342","454","573","254","C0001206"
"75","5336","2","3","7","53","14","20","25","40","215","C0001206"
"76","2775","2","5","4","68","36","150","341","223","628","C0001339"
"77","2200","2","5","7","53","51","342","454","573","492","C0001339"
"78","1717","2","3","2","19","151","276","48","69","204","C0001339"
"79","51360","2","3","3","26","35","276","91","433","203","C0001403"
"80","10262","2","3","2","22","33","323","66","101","136","C0001403"
"81","9469","2","3","2","103","189","303","29","475","467","C0001403"
"82","5376","2","5","7","53","51","342","454","573","492","C0001403"
"83","7258","2","3","12","19","36","1","426","55","78","C0001403"
"84","5657","2","5","7","34","52","216","395","549","674","C0001403"
"85","435","2","3","8","84","97","167","210","278","360","C0001403"
"86","54","2","3","5","80","81","178","195","256","342","C0001403"
"87","10654","2","3","3","72","151","276","91","433","118","C0001403"
"88","4210","2","3","12","41","219","339","156","568","697","C0001403"
"89","1130","2","5","7","60","54","326","141","359","462","C0001403"
"90","95681","2","3","12","76","153","40","38","54","75","C0001403"
"91","1187","2","5","8","63","45","23","34","464","187","C0001403"
"92","5832","2","3","2","101","62","189","182","509","252","C0001403"
"93","3730","2","5","7","53","14","20","25","40","186","C0001403"
"94","57582","2","5","8","63","36","166","106","110","158","C0001403"
"95","23405","2","3","2","22","33","323","66","146","194","C0001403"
"96","5894","2","5","7","60","54","23","34","464","187","C0001403"
"97","5604","2","5","7","53","14","20","34","540","68","C0001430"
"98","4221","2","3","12","19","31","342","454","573","492","C0001430"
"99","9126","2","3","12","76","153","40","38","54","75","C0001430"
"100","23363","2","3","12","41","116","268","434","468","213","C0001430"
"101","2627","2","3","12","19","31","118","155","287","116","C0001430"
"102","10804","2","3","12","76","153","40","38","54","75","C0001430"
"103","5251","2","3","5","80","81","296","474","593","722","C0001430"
"104","37","2","3","2","110","105","178","226","297","380","C0001430"
"105","5745","2","5","4","68","96","326","427","548","672","C0001430"
"106","6772","2","3","12","53","184","119","156","287","116","C0001430"
"107","2488","2","5","4","68","96","326","427","548","672","C0001430"
"108","6778","2","5","7","53","51","119","25","489","416","C0001430"
"109","3199","2","3","3","19","221","321","428","541","667","C0001430"
"110","5648","2","5","7","53","51","119","395","549","674","C0001430"
"111","5728","2","3","5","80","81","339","156","568","605","C0001430"
"112","7136","2","5","8","63","45","23","103","464","187","C0001430"
"113","2657","2","5","7","53","51","342","259","423","389","C0001430"
"114","4000","2","3","12","26","105","178","226","297","156","C0001430"
"115","5521","2","3","12","76","137","76","136","472","435","C0001430"
"116","1756","2","5","8","63","45","23","103","464","187","C0001430"
"117","57282","2","3","2","45","94","199","240","415","666","C0001430"
"118","9939","2","3","2","22","33","323","66","101","136","C0001430"
"119","11160","2","3","12","41","116","268","423","536","445","C0001430"
"120","9949","2","3","2","22","33","225","142","220","298","C0001430"
"121","5982","2","3","12","19","31","261","116","1","86","C0001430"
"122","5824","2","3","5","47","144","185","238","310","392","C0001430"
"123","79728","2","3","12","19","31","261","116","1","86","C0001430"
"124","7468","2","3","12","19","31","1","426","55","78","C0001430"
"125","4340","2","5","7","53","51","119","341","223","628","C0001430"
"126","4010","2","3","3","19","221","321","428","541","667","C0001430"
"127","1280","2","5","7","53","51","342","454","573","492","C0001430"
"128","7879","2","5","7","34","54","24","30","46","72","C0001430"
"129","8200","2","5","7","53","51","342","259","423","389","C0001618"
"130","23261","2","5","7","27","36","150","341","223","628","C0001618"
"131","7476","2","5","3","68","221","197","259","560","422","C0001618"
"132","9031","2","3","12","19","31","1","426","55","78","C0001621"
"133","54986","2","3","2","110","105","178","226","297","380","C0001621"
"134","355","2","3","7","41","219","339","156","568","697","C0001623"
"135","1349","2","3","2","48","170","110","141","359","462","C0001623"
"136","4803","2","5","7","60","54","24","30","46","72","C0001623"
"137","1020","2","3","12","19","14","118","34","540","68","C0001623"
"138","3211","2","3","3","19","221","321","428","541","667","C0001623"
"139","6323","2","5","8","63","36","166","341","390","158","C0001623"
"140","54757","2","5","7","53","51","342","454","573","492","C0001623"
"141","10516","2","5","7","53","51","342","454","573","492","C0001623"
"142","2263","2","5","7","53","14","20","25","40","186","C0001623"
"143","22796","2","5","7","60","153","40","38","66","203","C0001624"
"144","2299","2","3","3","19","221","321","428","541","667","C0001624"
"145","9179","2","5","7","60","18","184","341","544","669","C0001624"
"146","6778","2","5","7","53","51","119","25","489","416","C0001624"
"147","8626","2","3","3","19","221","321","428","541","667","C0001624"
"148","554","2","5","4","68","96","326","427","548","672","C0001624"
"149","1776","2","5","7","105","219","261","402","129","215","C0001624"
"150","8924","2","3","12","41","116","268","434","468","213","C0001624"
"151","9817","2","3","12","41","116","268","434","468","213","C0001624"
"152","3516","2","3","12","19","31","143","428","236","667","C0001624"
"153","3981","2","3","12","19","31","261","116","1","86","C0001624"
"154","6648","2","3","2","95","151","160","378","173","229","C0001627"
"155","1545","2","3","5","91","175","271","372","443","558","C0001627"
"156","5339","2","5","7","53","51","342","454","573","492","C0001627"
"157","2187","2","3","12","19","31","261","116","1","86","C0001627"
"158","1453","2","3","2","76","153","40","433","54","75","C0001627"
"159","4038","2","5","7","53","51","342","454","573","492","C0001627"
"160","51750","2","3","12","19","31","261","116","1","86","C0001627"
"161","10225","2","5","7","53","51","119","395","549","674","C0001627"
"162","4519","2","3","2","48","170","50","119","508","312","C0001627"
"163","1301","2","5","7","53","51","342","454","573","492","C0001627"
"164","7403","2","3","12","19","31","1","426","55","78","C0001627"
"165","4292","2","3","12","19","31","261","116","1","86","C0001723"
"166","26012","2","3","12","19","31","261","116","159","211","C0001723"
"167","9394","2","3","2","74","58","112","148","193","263","C0001723"
"168","26191","2","5","7","53","14","20","25","40","186","C0001723"
"169","3458","2","5","7","53","184","119","156","287","116","C0001723"
"170","4644","2","5","7","60","54","184","141","359","411","C0001723"
"171","6348","2","5","4","68","96","326","427","548","672","C0001733"
"172","54101","2","3","2","48","170","50","347","167","593","C0001733"
"173","10312","2","3","7","34","52","216","395","549","674","C0001733"
"174","1536","2","5","7","34","52","216","395","549","674","C0001768"
"175","6718","2","3","2","46","136","227","168","225","490","C0001768"
"176","8085","2","3","12","19","31","1","426","55","78","C0001768"
"177","24","2","3","12","41","116","268","423","536","445","C0001768"
"178","5244","2","3","3","41","151","276","91","433","118","C0001768"
"179","54765","2","3","12","48","182","50","119","444","556","C0001768"
"180","1311","2","5","7","53","51","342","454","573","492","C0001768"
"181","2131","2","3","2","74","58","112","148","181","416","C0001768"
"182","9611","2","3","12","19","151","276","91","433","118","C0001768"
"183","5573","2","3","12","19","184","118","155","287","116","C0001768"
"184","4313","2","5","7","53","51","342","454","573","492","C0001768"
"185","8924","2","3","12","41","116","268","434","468","213","C0001768"
"186","1487","2","3","12","19","31","1","426","55","340","C0001768"
"187","26277","2","3","12","19","31","1","426","1","78","C0001768"
"188","26277","2","3","12","19","31","1","426","1","78","C0001768"
"189","540","2","5","8","63","45","23","103","464","187","C0001768"
"190","84627","2","3","2","48","170","50","347","167","593","C0001815"
"191","1134","2","5","8","27","70","99","162","216","290","C0001815"
"192","1861","2","5","7","60","14","184","341","544","669","C0001816"
"193","5648","2","5","7","53","51","119","395","549","674","C0001816"
"194","8546","2","5","7","60","18","184","341","544","669","C0001816"
"195","7957","2","3","5","42","81","296","399","201","274","C0001818"
"196","2944","2","3","5","91","175","271","372","471","586","C0001818"
"197","2548","2","3","7","34","52","216","395","549","674","C0001818"
"198","1281","2","5","7","53","51","342","454","573","492","C0001818"
"199","1535","2","5","7","34","52","216","395","549","674","C0001824"
"200","5468","2","3","3","19","151","276","91","433","118","C0001824"
"201","54903","2","3","12","76","153","40","38","54","75","C0001824"
"202","3265","2","5","7","60","54","24","30","46","72","C0001824"
"203","1026","2","3","12","19","31","1","116","489","416","C0001883"
"204","11330","2","5","7","68","51","119","395","549","674","C0001883"
"205","2146","2","3","12","19","31","1","426","55","78","C0001883"
"206","1586","2","3","5","79","98","256","335","425","540","C0001916"
"207","1482","2","3","3","19","221","321","428","541","667","C0001916"
"208","6905","2","3","12","76","153","40","38","54","75","C0001916"
"209","7039","2","3","12","19","31","1","426","55","203","C0001916"
"210","9469","2","3","2","103","189","303","29","475","467","C0001916"
"211","6899","2","5","7","53","184","335","259","560","373","C0001916"
"212","26277","2","3","12","19","31","1","426","1","78","C0001916"
"213","4000","2","3","12","26","105","178","226","297","156","C0001916"
"214","443","2","3","5","80","81","189","182","509","409","C0001916"
"215","213","2","5","7","53","51","342","454","573","492","C0001916"
"216","60","2","3","12","60","45","184","155","287","78","C0001916"
"217","7015","2","3","12","19","31","1","426","55","78","C0001925"
"218","7681","2","3","12","41","116","268","434","468","213","C0001925"
"219","1387","2","3","12","19","31","276","91","433","118","C0001925"
"220","4842","2","3","5","63","45","71","177","464","219","C0001925"
"221","183","2","5","4","68","96","326","427","548","672","C0001925"
"222","6648","2","3","2","95","151","160","378","173","229","C0001925"
"223","1281","2","5","7","53","51","342","454","573","492","C0001925"
"224","23218","2","5","7","34","52","216","395","549","674","C0001925"
"225","23742","2","5","5","68","96","326","427","447","586","C0001925"
"226","5184","2","3","5","80","81","166","52","105","349","C0001925"
"227","3691","2","5","7","53","51","342","454","573","492","C0001925"
