"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"4893","2","5","7","34","52","24","30","46","72","C0000768"
"6347","2","5","7","53","51","119","427","489","416","C0000768"
"4436","2","3","12","19","31","261","116","1","86","C0000768"
"545","2","3","12","19","31","261","116","1","86","C0000768"
"3265","2","5","7","60","54","24","30","46","72","C0000768"
"846","2","5","4","68","96","326","427","548","672","C0000768"
"5340","2","5","7","53","51","342","454","573","492","C0000768"
"9663","2","3","5","80","81","296","51","488","102","C0000768"
"1280","2","5","7","53","51","342","454","573","492","C0000768"
"6424","2","5","7","53","51","342","454","573","492","C0000768"
"4929","2","3","3","19","151","276","91","433","118","C0000768"
"7048","2","5","7","53","51","342","259","423","389","C0000832"
"1436","2","5","7","53","14","20","25","40","186","C0000832"
"2109","2","3","2","48","170","50","119","444","556","C0000832"
"10564","2","5","7","60","54","24","30","46","72","C0000887"
"8985","2","5","7","53","51","342","454","573","492","C0000887"
"1409","2","3","12","76","153","40","38","54","75","C0000887"
"3043","2","5","7","34","52","216","395","549","116","C0000887"
"1639","2","3","12","76","153","40","38","54","75","C0000887"
"1743","2","3","2","67","92","293","55","75","311","C0000887"
"949","2","5","5","45","94","199","240","415","666","C0000889"
"10134","2","3","2","41","219","339","156","536","342","C0000889"
"94","2","5","7","53","51","342","259","423","389","C0000889"
"2915","2","5","4","68","96","326","427","548","672","C0000889"
"2178","2","3","12","19","31","261","116","1","86","C0000889"
"440","2","3","2","101","62","189","182","509","154","C0000889"
"7046","2","3","12","41","219","339","259","423","605","C0000889"
"8573","2","5","7","53","36","71","341","223","219","C0000889"
"1289","2","5","7","53","51","342","454","573","492","C0000889"
"2068","2","3","12","19","31","261","116","159","211","C0000889"
"7518","2","3","12","19","31","261","116","1","86","C0000889"
"103","2","3","2","110","184","119","156","287","116","C0000889"
"10558","2","3","2","50","47","39","100","321","209","C0000889"
"3868","2","1","6","11","142","225","142","220","298","C0000889"
"1278","2","5","7","53","51","342","454","573","492","C0000889"
"3762","2","5","8","63","36","166","106","110","158","C0000889"
"50964","2","5","3","68","221","197","259","423","422","C0000889"
"5256","2","3","7","34","45","23","103","464","187","C0000889"
"3356","2","5","4","68","96","326","427","548","672","C0000889"
"56652","2","3","3","19","151","276","91","433","118","C0000889"
"1513","2","5","7","53","51","342","454","573","492","C0001122"
"4843","2","3","5","43","161","305","409","489","416","C0001122"
"5982","2","3","12","19","31","261","116","1","86","C0001122"
"2067","2","3","12","19","31","261","116","1","86","C0001126"
"860","2","3","12","19","31","276","91","433","118","C0001126"
"4175","2","3","12","76","31","261","116","1","86","C0001126"
"5922","2","5","7","60","54","24","30","46","72","C0001126"
"5351","2","5","7","53","51","342","454","573","492","C0001126"
"9742","2","3","12","76","153","40","38","54","75","C0001126"
"1144","2","5","8","27","70","99","162","216","290","C0001126"
"3507","2","5","7","53","51","119","395","549","674","C0001126"
"1387","2","3","12","19","31","276","91","433","118","C0001126"
"11005","2","1","6","11","142","225","142","220","298","C0001126"
"9247","2","5","7","53","221","197","259","423","389","C0001175"
"9662","2","3","12","76","153","40","38","54","75","C0001175"
