"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"4313","2","5","7","53","51","342","454","573","492","C0000768"
"5745","2","5","4","68","96","326","427","548","672","C0000768"
"658","2","5","7","53","51","342","259","423","389","C0000768"
"3576","2","5","4","68","96","326","427","548","672","C0000768"
"51259","2","3","2","76","153","40","38","54","75","C0000768"
"22845","2","3","2","48","68","125","161","214","288","C0000768"
"3094","2","3","2","48","170","266","367","500","78","C0000768"
"7850","2","3","12","41","219","119","156","568","697","C0000768"
"8292","2","5","5","27","51","342","454","573","492","C0000768"
"3643","2","5","7","53","14","20","25","40","186","C0000768"
"22802","2","5","8","63","45","23","34","464","187","C0000768"
"3301","2","3","12","41","219","339","347","271","356","C0000832"
"55505","2","3","2","110","85","237","433","547","671","C0000832"
"4854","2","5","7","53","51","143","428","236","667","C0000832"
"4089","2","3","12","19","219","339","259","423","605","C0000887"
"549","2","3","5","80","81","166","114","155","202","C0000887"
"6218","2","3","2","110","85","237","433","547","671","C0000887"
"2302","2","3","12","76","153","40","38","54","75","C0000887"
"2","2","5","7","53","51","342","454","573","72","C0000887"
"19","2","3","3","19","151","276","91","433","118","C0000887"
"2629","2","3","5","80","81","250","291","152","420","C0000889"
"54","2","3","5","80","81","178","195","256","342","C0000889"
"5580","2","5","7","34","52","216","395","287","116","C0000889"
"1969","2","5","7","53","14","20","25","560","186","C0000889"
"3181","2","3","2","22","33","323","66","101","136","C0000889"
"1075","2","5","7","34","52","216","395","549","674","C0000889"
"675","2","3","12","19","31","261","116","1","86","C0000889"
"9049","2","3","3","41","151","276","378","271","356","C0000889"
"53834","2","5","7","53","51","342","454","573","492","C0000889"
"1289","2","5","7","53","51","342","454","573","492","C0000889"
"2260","2","5","7","53","14","20","25","40","186","C0000889"
"308","2","5","7","53","51","342","454","573","702","C0000889"
"54714","2","5","8","63","36","166","106","110","158","C0000889"
"23126","2","3","12","19","31","276","426","55","78","C0000889"
"7454","2","5","7","60","14","20","25","40","215","C0000889"
"2720","2","3","7","34","52","216","395","21","599","C0000889"
"4514","2","3","2","48","57","110","141","359","5","C0000889"
"7124","2","3","12","41","219","339","156","568","697","C0000889"
"6885","2","3","12","41","219","339","156","568","697","C0000889"
"1030","2","3","12","19","31","1","426","55","78","C0000889"
"81839","2","3","2","41","36","71","259","64","422","C0001122"
"27235","2","3","2","48","170","50","304","167","593","C0001122"
"8481","2","3","12","76","153","40","38","54","75","C0001122"
"2316","2","5","7","53","51","342","454","573","702","C0001126"
"4904","2","3","2","22","33","323","66","101","136","C0001126"
"776","2","5","8","63","36","166","341","390","158","C0001126"
